,,,,FORMATO DE REQUISICI?N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,05-may-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,6000,3.75,16,04/05/2016,AGUJA P/INSULINA PLUMA 31GX8,,,"$22,500.00"
,120,121.25,0,04/05/2016,CAJA DE DIANEAL 4.25%,,,"$14,550.00"
,72,115.28,16,04/05/2016,PREMILENE 6-0 45CM DS16 C0090211,,,"$8,300.16"
,36,115.28,16,04/05/2016,PREMILENE 4-0 C0090676,,,"$4,150.08"
,36,115.28,16,04/05/2016,SILKAM 2-0 C0264460 ,,,"$4,150.08"
,2600,1.48,16,04/05/2016,JERINGA 5CC (22X32),,,"$3,848.00"
,32,121.25,0,04/05/2016,CAJA DIANEAL AL 1.5%,,,"$3,880.00"
,450,3.56,16,04/05/2016,JERINGA 20CC SIN AGUJA,,,"$1,602.00"
,24,43,16,04/05/2016,GEL ANTIBACTERIAL 1LTO,,,"$1,032.00"
,50,19.6,16,04/05/2016,STERI STRIP 0.63X7.6X7.6,,,$980.00
,5,153,16,04/05/2016,PUNTAS PARA ELECTROCAUTERIO FINAS ,,,$765.00
,24,23.08,16,04/05/2016,CROMICO 4-0 R2614-75,,,$553.92
,24,17.08,16,04/05/2016,"TELA ADHESIVA 1""X5MTS",,,$409.92
,340,1.17,16,04/05/2016,CONOS PARA OTOSCOPIO CHICO,,,$397.80
,5,35,16,04/05/2016,TUBO ENDOTRAQUEAL NO. 8.0 C/G,,,$175.00
,10,27.5,16,04/05/2016,BOLSA RECOLECTORA ORINA CAMA,,,$125.00
,5,25,16,04/05/2016,TUBO ENDOTRAQUEAL NO. 3.0 S/G,,,$125.00
,5,25,16,04/05/2016,TUBO ENDOTRAQUEAL NO. 3.5 S/G,,,$125.00
,10,5.5,16,04/05/2016,TORNIQUETES DE LATEX 25 CMS C/ SUJETADOR,,,$55.00
,5,3,16,04/05/2016,CONECTORES ANCHOS,,,$15.00
,5,3,16,04/05/2016,CONECTORES ANGOSTOS,,,$15.00
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,, $-   
,,,,,,,,"$68,168.56"
,,,,,,,,"$10,906.97"
,,,,,,,,"$79,075.53"
