STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
EQU024,1,1813,16,19/01/2016,Biombo triple esmaltado,
EQU014,1,1157,16,19/01/2016,Escalerilla de 2 peldaNos acero inox.,
EQU010,1,210,16,19/01/2016,Charola con tapa de acero inoxidable 20X8X5,
MAT0197,1,14,16,19/01/2016,Cinta metrica,
MAT0926,1,43,16,19/01/2016,Bolsa torundas algodon 500 gr.,
MAT0156,10,15,16,19/01/2016,Campo hendido esteril 60 x 60,
MAT0486,1,106,16,19/01/2016,Gasa esteril 10 x 10 cm C/100,
MAT1121,1,119.5,16,19/01/2016,Guante esteril Mediano,
MAT0577,1,190,16,19/01/2016,Jeringa de 10 ML C/100 ,
MAT0578,1,230,16,19/01/2016,Jeringa de 20 ML C/100 ,
MAT1197,1,250,16,19/01/2016,Sutura Nylon 3-0  C/12,
MAT0892,1,295,16,19/01/2016,Sutura Catgut 3-0 C/12,
MAT0552,1,204,16,19/01/2016,ISODINE ESPUMA GALO ,
MAT4087,1,18,0,19/01/2016,BENZALCONIO AZUL AL 12% 500ML,
MAT0907,1,215,16,19/01/2016,TELA/ CINTA ADHESIVA 1 C/12,
MAT0916,1,275,16,19/01/2016,TIRILLAS ACCU-CHECK PERFORMA C/50,
MAT0588,1,65,16,19/01/2016,LANCETA C/100,
MAT1012,5,5,16,19/01/2016,VENDA ELASTICA 10 CM,
MAT1016,5,3.5,16,19/01/2016,VENDA ELASTICA 5 CM,
MAT4502,2,11.5,16,19/01/2016,VENDA ELASTICA 20 CM,
MAT1021,1,220,16,19/01/2016,VENDA SCOTCH CAST 3 BSN (FIBRA DE VIDRIO P/YESO) C/10,
MED0002,1,13,0,19/01/2016,Acido acetilsalicilico 500 gr. C/20,
MED0216,2,18.4,0,19/01/2016,KETOROLACO SUBLING 30 MG C/4,
MED0216,2,10.8,0,19/01/2016,DICLOFENACO SODICO GI GRAGEAS MG C/20 TABS,
MED1030,3,9,0,19/01/2016,IBUPROFENO TABS. 400 MG,
MED0276,3,10.8,0,19/01/2016,Paracetamol tabs. 500 mg. C/20,
MED0215,10,15,0,19/01/2016,KETOROLACO AMP. 30 MG C/3,
MED0236,10,11.5,0,19/01/2016,Metamizol sodico iny. C/3,
MED0116,5,9.8,0,19/01/2016,DICLOFENACO SODICO INY 75MG/3ML C/2,
MED0287,5,28,0,19/01/2016,PISACAINA S/EPINEFRINA F.A. 50 ML LIDOCAINA S/E 2%,
MED0258,2,21.6,0,19/01/2016,Nifedipino caps. 10 mg. C/20,
MED0066,1,9.84,0,19/01/2016,CAPTOPRIL TABS DE 25 MG C/30,
MED0208,1,37.05,0,19/01/2016,ISOSORBIDA 5MG C/20 TAB,
MED4449,1,16.7,0,19/01/2016,Amantadina/clorferamina/paracetamol C/15 TAB,
MED0001,2,28.5,0,19/01/2016,ACETATO DE METILPREDNISOLONA C/1 FCO.,
MED0009,10,10.8,0,19/01/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML C/1,
MED0189,3,36,0,19/01/2016,Hidrocortisona 100 ml amp C/1,
MED0065,3,15,0,19/01/2016,BROMURO DE BUTILHIOSCINA INY. 20MG/1ML C/3,
MED0321,1,28.5,0,19/01/2016,SALBUTAMOL SPRAY 100MCG 200DOSIS,
MED0119,1,9.4,0,19/01/2016,DIFENIDOL AMP. 40 MG C/2,
MED0043,1,190.8,0,19/01/2016,AVAPENA AMPS. DE 20 MG DE 2 ML CLOROPIRAMINA C/5,
MED4472,3,16.8,0,19/01/2016,AGUA INYECTABLE FRASCO 500 ML C/1,
MAT0210,3,15,0,19/01/2016,SOL. FISIOL. CLORURO DE SODIO 0.9% FCO 500ML,
MAT0209,2,11.65,0,19/01/2016,SOL. FISIOL. CLORURO DE SODIO 0.9%/FRASCO 250 ML,
MED0185,3,15,0,19/01/2016,"HARTMAN CLORURO DE SODIO, POTASIO, CALCIO 500 ML",
MED0184,5,27,0,19/01/2016,SOLUCION GLUCOSA 50%  50ML. ,
MED0296,1,73,0,19/01/2016,PONTIOFTENO TETRACAINA/ GOTAS 10 ML,
MAT4503,13,12,16,19/01/2016,VENOSET/FLEBOTEK CON AGUJA,
MAT4060,5,6.5,16,19/01/2016,CATETER INTRAVENOSO 18G,
MAT4488,5,6.5,16,19/01/2016,CATETER INTRAVENOSO 20G ,
MAT0042,2,21,16,19/01/2016,ALCOHOL ETILICO DESNAT. 70 1LT,
MAT0778,1,82,16,19/01/2016,SABANA PLANA C/10,
MAT0079,2,65,16,19/01/2016,BATA DESECHABLE C/10,
