,,,,FORMATO DE REQUISICI?N,,,,,,
,,,,(RAZON SOCIAL),,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
187,,,,,,14-mar-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
GE,,,,,,ALEJANDRO,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
,1,187,16,14/03/2016,MALLA TUBULAR NO. 2 ROLLO,,,,$187.00,BENEFIC
,1,198,16,14/03/2016,MALLA TUBULAR NO. 3 ROLLO,,,,$198.00,BENEFIC
,1,65,16,14/03/2016,TERMOMETRO DIGITAL,,,,$65.00,BENEFIC
,1,45,16,14/03/2016,TIJERAS DE USO RUDO,,,,$45.00,BENEFIC
,100,6.2,16,14/03/2016,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,,,$620.00,BENEFIC
,,,16,02/02/2016,,,,,$0.00,
,,,16,02/02/2016,,,,,$0.00,
,,,16,02/02/2016,,,,,$0.00,
,,,16,02/02/2016,,,,,$0.00,
,,,16,02/02/2016,,,,,$0.00,
,,,16,02/02/2016,,,,,$0.00,
