FORMATO DE REQUISICIàN,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
Diciembre,,,,,,22-dic-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,Carlos Cantu,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE , Subtotal sin IVA 
,100,8.631,0%,2015-12-22,Scandonest 2% especial,,,50,$431.55,$863.10
,50,8.631,0%,2015-12-22,Scandonest 3%,,,50,$431.55,$431.55
,1,460.27,16%,2015-12-22,Silicona pesada,,,1,$460.27,$460.27
,1,223.43,16%,2015-12-22,Activador universal,,,1,$223.43,$223.43
,150,4.7728,16%,2015-12-22,radiografias,,,150,$715.92,$715.92
,1,126.13,16%,2015-12-22,revelador,,,1,$126.13,$126.13
,1,1703.83,16%,2015-12-22,Ionomero de vidrio base,,,1,"$1,703.83","$1,703.83"
,1,215.86,16%,2015-12-22,Hilo retractor #000 negro,,,1,$215.86,$215.86
,1,41.1,16%,2015-12-22,Acido grabador,,,1,$41.10,$41.10
,4,163.3325,16%,2015-12-22,Resina fluida A2,,,4,$653.33,$653.33
,200,0.8193,16%,2015-12-22,Bolsas para esterilizar,,,200,$163.86,$163.86
,200,0.87335,16%,2015-12-22,Bolsas para esterilizar,,,200,$174.67,$174.67
,500,0.56278,16%,2015-12-22,campos,,,500,$281.39,$281.39
,50,1.0216,16%,2015-12-22,Mascara cubrebocas,,,50,$51.08,$51.08
,1000,0.40558,16%,2015-12-22,Vasos ÿdesechables,,,1000,$405.58,$405.58
,200,0.5624,16%,2015-12-22,aspiradores,,,100,$56.24,$112.48
,,,,,,,,,,"$6,623.58"
