FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,30,143.18,0,03/12/2015,MECLIZINA + PIRIDOXINA JARABE FCO.,,,,
,8,339.3,0,03/12/2015,MAXITROL SUSP. OFTALMICA FCO ML NEOMICINA + POLIMIXINA B + DEXAMETASONA,,,,
,13,125.63,0,03/12/2015,NITROFURAL POMADA TUBO,,,,
,120,15,0,03/12/2015,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,
,8,175.53,0,03/12/2015,CLORURO DE ETILO,,,,
,80,19.23,0,03/12/2015,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,
,10,108.13,0,03/12/2015,ANDANTOL GEL 0.75% ISOTIPENDILO,,,,
,6,175.53,0,03/12/2015,TRAUMASOL AEROSOL CLORURO DE ETILO,,,,
,8,125.63,0,03/12/2015,NITROFURAL POMADA TUBO,,,,
,3,235.28,0,03/12/2015,BIODEXAN DEXAMETASONA NEOMICINA POLIMICINA FENILEFRINA,,,,
,30,19.23,0,03/12/2015,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,
,7,82.24,0,03/12/2015,MICROCYN  SOLUCION ANTISEPTICA 120 ML,,,,
,5,108.13,0,03/12/2015,ISOTIPENDILO GEL 0.75 %,,,,
,80,6.05,0,03/12/2015,CLINDAMICINA 300MG AMP.,,,,
,10,47.59,0,03/12/2015,SOLUTINA F GOTAS,,,,
,40,10.2,0,03/12/2015,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,,,
,10,40.74,0,03/12/2015,ROCAINOL BALSAMO,,,,
,12,22,0,03/12/2015,CEFTRIAXONA 1GR AMP.,,,,
,12,22,0,03/12/2015,CEFTRIAXONA 1GR AMP.,,,,
,20,9.5,0,03/12/2015,AMPICILINA 1GR AMP.,,,,
,10,17.6,0,03/12/2015,GLUCOSA 50%/FRASCO 50 ML,,,,
,15,10.27,0,03/12/2015,MICONAZOL CREMA,,,,
,10,13.75,0,03/12/2015,HIDROCORTISONA CREMA,,,,
,7,15,0,03/12/2015,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO.,,,,
,10,10.01,0,03/12/2015,MECLIZINA + PIRIDOXINA SOL. FCO. GOTAS,,,,
,4,22,0,03/12/2015,SALBUTAMOL 100MCG SPRAY,,,,
,7,10.2,0,03/12/2015,"BARMICIL CREMA 100 GR BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,,,
,1,63.58,0,03/12/2015,"LAV-OFTENO 100 ML ACIDO BORICO, BORAX",,,,
,5,12.5,0,03/12/2015,CLORANFENICOL SOL. OFT. ,,,,
,1,35.85,0,03/12/2015,NEOMICINA /DEXAMENTASONA GOTAS OFT,,,,
,2,16.4,0,03/12/2015,CLORAMFENICOL UNGUENTO TUBO 5 MG,,,,
,5,6.5,0,03/12/2015,AMBROXOL  120 ML,,,,
,2,12.7,0,03/12/2015,OXIMETAZOLINA SOL. NASAL 25 MG FCO. NEB.,,,,
,1,13.09,0,03/12/2015,DICLOFENACO GOTAS OFTALMICAS,,,,
,800,2.8,0,03/12/2015,DIFENIDOL 40 MG/2ML SOL. INY.,,,,
,500,3.84,0,03/12/2015,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,,
,400,2.8,0,03/12/2015,DIFENIDOL 40 MG/2ML SOL. INY.,,,,
,300,3.603333333,0,03/12/2015,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,,
,39,10,0,03/12/2015,TRIB12 DX COMPLEJO B + DEXAMETASONA + LIDOCAINA,,,,
,21,10,0,03/12/2015,TRIB12 DX COMPLEJO B + DEXAMETASONA + LIDOCAINA,,,,
,12,3.603333333,0,03/12/2015,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,,
,50,29.002,0,03/12/2015,CLOROPIRAMINA 20MG AMP.,,,,
,50,17.334,0,03/12/2015,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,,,,
,20,17.334,0,03/12/2015,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,,,,
,10,29.002,0,03/12/2015,CLOROPIRAMINA 20MG AMP.,,,,
,10,4.618,0,03/12/2015,GENTAMICINA 160MG/2ML AMP.,,,,
,60,2.08,0,03/12/2015,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,,,
,6,9.518333333,0,03/12/2015,  LINCOMICINA INYECTABLE 600 MG,,,,
,28,6.457142857,0,03/12/2015,LEVOFLOXACINO 500 MG TAB,,,,
,1800,0.55,0,03/12/2015,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA,,,,
,300,1.62,0,03/12/2015,FLEXIVER TABS 15 MG MELOXICAM,,,,
,800,0.55,0,03/12/2015,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA CAJA TABLETAS,,,,
,600,0.725,0,03/12/2015,ZOAFALET-H TABS. 400MG IBUPROFENO,,,,
,1500,0.27,0,03/12/2015,PARACETAMOL 500MG TAB.,,,,
,120,3.3,0,03/12/2015,MELOXICAM/METOCARBAMOL TAB,,,,
,200,1.683,0,03/12/2015,BUTILHIOSCINA + METAMIZOL 10MG/250MG,,,,
,100,3.3,0,03/12/2015,METOCARBAMOL/ MELOXICAM TAB,,,,
,300,0.89,0,03/12/2015,PARACETAMOL C/ NAPROXENO,,,,
,300,0.89,0,03/12/2015,PARACETAMOL C/ NAPROXENO,,,,
,100,2.508,0,03/12/2015,CETIRIZINA 10 MG,,,,
,90,2.75,0,03/12/2015,TRAMADOL TAB 50 MG,,,,
,300,0.725,0,03/12/2015,IBUPROFENO TAB 400 MG,,,,
,150,1.43,0,03/12/2015,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,,
,650,0.27,0,03/12/2015,PARACETAMOL 500MG TAB.,,,,
