,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,10,119,16,18/07/2016,ABATELENGUAS C/500 PZAS.,,,,"$1,190.00"
,7,87.5,16,18/07/2016,AGUJA DESECHABLE 18X38 MM. C/100 PZAS.,,,,$612.50
,10,87.5,16,18/07/2016,AGUJA DESECHABLE 21X32 MM. C/100 PZAS,,,,$875.00
,5,87.5,16,18/07/2016,AGUJA DESECHABLE 22X32 MM. C/100 PZAS.,,,,$437.50
,7,87.5,16,18/07/2016,AGUJA DESECHABLE 25X16 MM C/100 PZAS,,,,$612.50
,3,87.5,16,18/07/2016,AGUJA DESECHABLE 23X25 MM. C/100 PZAS.,,,,$262.50
,60,31.5,16,18/07/2016,ALCOHOL ROJO 96 GR. LITRO CANITAS,,,,"$1,890.00"
,6,275,16,18/07/2016,ALKAZYME PAQ. C/12 SOBRES 20GR.,,,,"$1,650.00"
,4,2925,16,18/07/2016,ALKACIDE ESTERELIZANTE 1 LITRO,,,,"$11,700.00"
,5,87.5,16,18/07/2016,APLICADORES DE MADERA CAJA C/750 PZAS.,,,,$437.50
,1,1750,16,18/07/2016,APLICADORES CITRATO DE PLATA C/100,,,,"$1,750.00"
,5,66,16,18/07/2016,APLICADORES DE PLASTICO PUNTA ALGODON NO ESTERIL C/500,,,,$330.00
,1,5279,16,18/07/2016,ACTIVATOR FOR COBRAS INTEGRA,,,,"$5,279.00"
,2,7385,16,18/07/2016,AVL HB CALIBRATOR 5XIML,,,,"$14,770.00"
,6,641.7,16,18/07/2016,BARRERA CONVEXA NIMAG C/5,,,,"$3,850.20"
,2,613.8,16,18/07/2016,BARRERA STOMAHESIVE FLEX 45MM C/5,,,,"$1,227.60"
,3,535,16,18/07/2016,BARRERA TANDEM 70 MM C/5,,,,"$1,605.00"
,4,535,16,18/07/2016,BARRERA CUTANEA PLANA ARO 70 MM CAJA CON 5,,,,"$2,140.00"
,8,480,16,18/07/2016,BARRERA NEW IMAGEN 57MM. C/5,,,,"$3,840.00"
,80,81,16,18/07/2016,BATA MEDICO-PACIENTE SMS AZUL C/10,,,,"$6,480.00"
,40,32,16,18/07/2016,BATA PARA CIRUJANO,,,,"$1,280.00"
,3,83,16,18/07/2016,BRAZALETE IDENTIFICACION,,,,$249.00
,2,1068,16,18/07/2016,BOLSA ACTIVE LIFE PEDIATRICA,,,,"$2,136.00"
,4,728.84,16,18/07/2016,BOLSA DRENABLE 70 MM C/10,,,,"$2,915.36"
,3,728.84,16,18/07/2016,BOLSA DRENABLE S/F 70 MM C/10,,,,"$2,186.52"
,3,728.84,16,18/07/2016,BOLSA DRENABLE TRANSPARENTE C/10,,,,"$2,186.52"
,20,97,16,18/07/2016,BOLSA MEDIVAC 1LTO. PZA.,,,,"$1,940.00"
,35,16.25,16,18/07/2016,BOLSA RECOLECTORA DE ORINA 2 LTS. ADULTO,,,,$568.75
,3,1110,16,18/07/2016,BOLSA UROSTOMIA ULTRA TRANS. ARO DE 57 MM. C/10,,,,"$3,330.00"
,2,2237,16,18/07/2016,"COBAS INTEGRA UA2, TRIG 250",,,,"$4,474.00"
,2,6328,16,18/07/2016,CELLPACK 20L (PK30L),,,,"$12,656.00"
,3,5698,16,18/07/2016,"CALSET PROGESTERONA,FT3,FT4",,,,"$17,094.00"
,1,7451,16,18/07/2016,"COMBITROL PLUS LEVEL 1,2,3",,,,"$7,451.00"
,6,985,16,18/07/2016,CAJA DE TUBO LATEX P/ASPIRACION,,,,"$5,910.00"
,10,196,16,18/07/2016,"CAJA CINTA MICROPORE 1.25 1/2""",,,,"$1,960.00"
,12,750,16,18/07/2016,"CAJA INTROCAN CERTO NUM 16,18,20,22",,,,"$9,000.00"
,400,15,16,18/07/2016,CAMPO ESTERIL HENDIDO 50X70 C/ADHESIVO,,,,"$6,000.00"
,40,90,16,18/07/2016,COMPRESA 70X45 C/6,,,,"$3,600.00"
,7,112.5,16,18/07/2016,CUBRE ZAPATO SMS AZUL 100 PZAS.,,,,$787.50
,20,375,16,18/07/2016,CIRCUITO BAIN DE 60 PULGADAS,,,,"$7,500.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
