,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,
 MAT1140 ,3,55,16,22/07/2016,PAPEL ELECTROCARDIOGRAMA ROLLO 50MMX30MM,,,,
 MAT0738 ,30,7,16,22/07/2016,PUNTAS NASALES,,,,
 EQU009 ,4,130,16,22/07/2016,RINON DE ACERO INOX. 500 ML ,,,,
 MAT1119 ,5,11.9,16,22/07/2016,TERMOMETRO ORAL CLINICO MERCURIAL,,,,
 MAT4542 ,1,102,16,22/07/2016,ISODINE SOLUCION 120 ML,,,,
