,,,,,,,OC 198,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
FECHA: ,,04-nov-15,,,,,,REQ. NOVIEMBRE,,,
LUGAR DE ENTREGA: ,,Ar Medica,,,,,,,,,
PROVEEDOR:,,BENEFIC COMERCIALIZADORA,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,
,240,1.133333333,0,11/12/2015,AMANTADINA (ROSEL),,15,,272,,271.9999999
,,,,,,,,,,,
,300,1.45,16,14/12/2015,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,,435,,
,300,1.65,16,14/12/2015,TUBO ROJO ,,,,495,,
,300,1.55,16,14/12/2015,TUBO LILA,,,,465,,
,1,0.086666667,16,14/12/2015,APLICADORES DE MADERA (C 750),,,,65,,
,2,85.8,16,14/12/2015,ANTI A,,,,171.6,,
,2,85.8,16,14/12/2015,ANTI B,,,,171.6,,
,2,195,16,14/12/2015,ANTI D,,,,390,,
,300,12.5,16,14/12/2015,TIRAS MARIHUANA,,,,3750,,
,200,12.5,16,14/12/2015,TIRAS COCAINA,,,,2500,,
,200,12.5,16,14/12/2015,TIRAS ANFETAMINA,,,,2500,,
,200,6.37,16,14/12/2015,TIRAS MULTISTIX,,,,1274,,
,500,0.8,16,14/12/2015,VASOS PARA MUESTRA,,,,400,,
,,,,,,,,,12617.2,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
