FORMATO DE REQUISICI?N,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,14-nov-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,ARTURO HEREDIA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,
,30,36.12,16,14/11/2016,MASCARILLA P/OXIGENO C/TUBO 180CMS,,,,"$2,242.00",
,30,36.12,16,14/11/2016,MASCARILLA CON RESERVORIO ADULTO,,,,"$3,650.00",
,4,1875,16,14/11/2016,PAPEL CREPADO ESTERILIZACION,,,,"$12,150.00",
,6,363.7,16,14/11/2016,PASTA P/COLOSTOMIA TUBO 60G.,,,,"$1,160.00",
,6,1758,16,14/11/2016,PREMILENE 3/0 45 CM. DS 24 CAJA CON 36 PZAS.,,,, $-   ,
,6,1758,16,14/11/2016,PREMILENE 4/0 45 CM. DSMP19 CAJA CON 12,,,, $-   ,
,6,1485,16,14/11/2016,PREMILENE 5/0 45 CM DSMP 13 CAJA CON 12,,,, $-   ,
,600,11.5,16,14/11/2016,PIEZAS DE FRASCOS VIALES DE 5ML. (ESTERILES),,,, $-   ,
,24,350,16,14/11/2016,PIEZAS MULTI TEST II BANDEJA,,,, $-   ,
,2,339,16,14/11/2016,POLVO STOMAHESIVE,,,, $-   ,
,3,11029,16,14/11/2016,PRECICONTROL UNIVERSAL G.2,,,, $-   ,
,12,98,16,14/11/2016,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,, $-   ,
,120,144,16,14/11/2016,SABANA DE CAJON 1.20X2.40X0.14,,,, $-   ,
,120,120,16,14/11/2016,SABANA PLANA 1.2X2.0,,,, $-   ,
,1,1470,16,14/11/2016,SILKAM BLACK 4/0 75CM HR26 CAJA CON 12,,,, $-   ,
,2,880,16,14/11/2016,SAFIL UNDYED 3/0 45CM DS 19 CAJA CON 12,,,, $-   ,
,30,175,16,14/11/2016,SOLUCION ALBUMINO SALINA 100 ML.,,,, $-   ,
,36,47.5,16,14/11/2016,SONDA FOLEY LATEX 14 FR. 2 VIAS C. GLOBO 5ML,,,, $-   ,
,24,47.5,16,14/11/2016,SONDA FOLEY LATEX 18 FR 2 VIAS C/GLOBO 5 ML.,,,, $-   ,
,30,17.29,16,14/11/2016,SONDA P/ASPIRAR SECRECION 14 FR CAT. V760C,,,, $-   ,
,4,6917,16,14/11/2016,S 1 RINSE SOLUTION OMNI S,,,, $-   ,
,3,21152,16,14/11/2016,S 3 FLUID PACK A OMNI S,,,, $-   ,
,5,14182,16,14/11/2016,"STROMATOLYSER 4DL, 4DS Y 5L",,,, $-   ,
,4,6080,16,14/11/2016,STA-NEOPLASTIN PLUS 12X10 ML.,,,, $-   ,
,24,556,16,14/11/2016,TIRAS P/GLUCOSA ONE TOUCH ULTRA C/50,,,, $-   ,
,6,225,16,14/11/2016,TELA TRANSPORE 2.5 X 9MT CAJA C/12,,,, $-   ,
,4,296,16,14/11/2016,"TELA ADHESIVA 2.5 CM 1""",,,, $-   ,
,30,58.5,16,14/11/2016,TORUNDA DE ALGOD‡N DE 500 GRS.,,,, $-   ,
,4,685,16,14/11/2016,TUBO LILA 4ML PLAST C/100 BD,,,, $-   ,
,80,36,16,14/11/2016,UNIFORME CIRUJANO (FILIPINA Y PANTALON),,,, $-   ,
,80,35,16,14/11/2016,UNIFORME CIRUJANO ESTERIL DESECHABLE,,,, $-   ,
,1200,3,16,14/11/2016,VASO ESTERIL RECOLECCION DE ORINA,,,, $-   ,
,30,72,16,14/11/2016,VENDA ELASTICA 7 CM. X 5 MTS C/12,,,, $-   ,
,34,64.5,16,14/11/2016,VENDA ELASTICA 10CMS X 5 MTS C/12,,,, $-   ,
,15,96,16,14/11/2016,VENDA ELASTICA 15 X5 MTS. C/12,,,, $-   ,
,5,251,16,14/11/2016,VENDA ENYESADA 15X2.75 CMS C/12,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,SUBTOTAL,"$19,202.00",
,,,,,,,,IVA, $-   ,
,,,,,,,,TOTAL,"$19,202.00",
