,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,18-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,300,6.9,0,20/04/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,"$2,070.00"
,280,0.17,0,20/04/2016,GLIBENCLAMIDA TAB C/50,,,$47.60
,500,0.48,0,20/04/2016,AMBROXOL TAB.30 MG. TAB,,,$240.00
,336,1.33,0,20/04/2016,AMOXICILINA 500,,,$446.88
,400,1.07,0,20/04/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,$428.00
,40,30,0,20/04/2016,BETAMETASONA AMP,,,"$1,200.00"
,600,1.48,0,20/04/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,$888.00
,600,0.89,0,20/04/2016,MECLIZINA + PIRIDOXINA 25MG TAB.,,,$534.00
,600,0.74,0,20/04/2016,CAFIASPIRINA ADULTO TAB C/100,,,$444.00
,200,0.19,0,20/04/2016,CAPTOPRIL 25MG TAB.,,,$38.00
,350,1.13,0,20/04/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,$395.50
,400,1.97,0,20/04/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,$788.00
,400,3.77,0,20/04/2016,CETIRIZINA TAB 10 MG C/10,,,"$1,508.00"
,10,12.3,0,20/04/2016,CLORANFENICOL SOL. OFT. ,,,$123.00
,400,0.73,0,20/04/2016,CLORFENAMINA COMPUESTA KY6 500MG,,,$292.00
,800,0.18,16,20/04/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,$144.00
,700,0.47,0,20/04/2016,DICLOFENACO 100MG TAB.C/10,,,$329.00
,400,1.49,0,20/04/2016,DICLOXACILINA 500MG CAP.,,,$596.00
,80,2.65,0,20/04/2016,FENAZOPIRIDINA/AC NALIDIXICO,,,$212.00
,8,146,0,20/04/2016,FURACIN POMADA 85 GR.,,,"$1,168.00"
,624,1.75,0,20/04/2016,GRANEODIN B 10 MG 4 BENZOCAINA ,,,"$1,092.00"
,120,20.5,0,20/04/2016,HIDRASEC TAB 100 MG C/30,,,"$2,460.00"
,600,0.85,0,20/04/2016,IBUPROFENO TABS 400 MG IBUPROFENO,,,$510.00
,60,2.67,0,20/04/2016,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,$160.20
,600,2.13,0,20/04/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,"$1,278.00"
,6,83.5,0,20/04/2016,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,$501.00
,15,6.42,0,20/04/2016,LEVOFLOXACINO 500MG C/7 TABLETAS,,,$96.30
,420,0.75,0,20/04/2016,LOPERAMIDA 2 MG C/12 TABLETAS,,,$315.00
,480,3.05,0,20/04/2016,LORATADINA + BETAMETASONA 5.0MG/0.25MG TAB.,,,"$1,464.00"
