STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,15,389,0,2016-02-16,AGUA INY. 10 ML. C/100 AMP.,
,15,349.9,0,2016-02-17,AGUA INY. 5 ML. C/100 AMP.,
,52,1260,0,2016-02-18,CAJA DE DIANEAL 1.5 % C/TAPON C/8 PZAS,
,64,1260,0,2016-02-19,CAJA DE DIANEAL 2.5 % C/TAPON C/8 PZAS,
,73,1260,0,2016-02-20,CAJA DE DIANEAL 4.25 % C/TAPON C/8 PZAS,
,183,15,0,2016-02-21,CLORURO DE SODIO 0.9 % 250 ML.,
,136,18,0,2016-02-22,CLORURO DE SODIO 0.9 % 500 ML.,
,167,14,0,2016-02-23,CLORURO DE SODIO AL 9% ENV. 100 ML,
,197,21,0,2016-02-24,CLORURO DE SODIO AL 9% ENV. 1000 ML,
,187,18,0,2016-02-25,CLORURO DE SODIO+GLUCOSADO 5% MIXTO,
,189,15,0,2016-02-26,HARTMAN 250 ML.,
,214,18,0,2016-02-27,HARTMAN 500 ML,
,320,21,0,2016-02-28,HARTMAN 1000 ML,
,450,11.87,0,2016-02-29,SOLUCION CS INY. 100 ML. MINIOVAL,
,264,20.62,0,2016-03-01,SOLUCION CS INY. FLEXOVAL 1000 ML.,
,360,14,0,2016-03-02,SOLUCION CS INY. PLAS 250 ML,
,480,20.62,0,2016-03-03,SOLUCION DX-5 INY. FLEXOVAL 1000 ML.,
,260,20.62,0,2016-03-04,SOLUCION HT. INY. FLEXOVAL 1000 ML.,
,148,14,0,2016-03-05,SOLUCION HT. INY. PLAST 250 ML.,
,172,17.62,0,2016-03-06,SOLUCION HT. INY. PLAST 500 ML.,
