,,,,FORMATO DE REQUISICI?N,,,,,,
,,,,PROMOVAG0,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,06-abr-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
,500,27.96264,16,12/04/2016,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,500,"$13,981.32",,"$13,981.32"
,50,9.054,0,12/04/2016,ANESTESIA AL 2%,,50,$452.70,,$452.70
,4,44.44,0,12/04/2016,ANESTESIA TOPICA FCO. 30GR,,1,$44.44,,$177.76
,600,2.4972,16,12/04/2016,BOLSAS DESECHABLES PARA PLACAS DENTAL NO. 2,,300,$749.16,,"$1,498.32"
,300,6.948,16,12/04/2016,BOQUILLAS PARA FLORURO CHICAS SULTAN,,50,$347.40,,"$2,084.40"
,30,99.72,16,12/04/2016,ESPEJO BUCAL NO. 5 HU FRIEDY,,1,$99.72,,"$2,991.60"
,6,230.75,16,12/04/2016,EUGENOL FCO. C/30ML. QOM,,1,$230.75,,"$1,384.50"
,2,101.5,16,12/04/2016,FLORURO EN FORMA DE GEL BOTE C/480ML,,1,$101.50,,$203.00
,20,21.42,16,12/04/2016,FRESA CARBURO BOLA NO. 4,,20,$21.42,,$428.40
,60,21.42,16,12/04/2016,FRESA CARBURO PERA NO. 330,,1,$21.42,,"$1,285.20"
,60,21.42,16,12/04/2016,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 5 JET,,1,$21.42,,"$1,285.20"
,36,36,16,12/04/2016,FRESA DIAMANTE NO. 1062 TF11,,1,$36.00,,"$1,296.00"
,30,36,16,12/04/2016,FRESAS FORMA LLANTA,,1,$36.00,,"$1,080.00"
,1,982.26,16,12/04/2016,"KIT DE SELLADORES 3M, JERINGAS, SELLADOR, ACIDO Y SINGLE BOND",,1,$982.00,,$982.26
,18,201.78,16,12/04/2016,MANGO PARA ESPEJO NO. 5 HU FRIEDY,,1,$201.78,,"$3,632.04"
,1,481.68,16,12/04/2016,PANASPRAY),,1,$481.68,,$481.68
,100,0.7688,16,12/04/2016,PANOS EXPRIMIDORES DE AMALGAMA C/50,,50,$38.44,,$76.88
,3,857.52,16,12/04/2016,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,,1,$857.52,,"$2,572.56"
,1,607.86,16,12/04/2016,SOL. DESINFECTANTE Y ESTERILIZANTE SPOROX II GALON,,1,$607.86,,$607.86
,100,0.298,16,12/04/2016,TIRAS DE CELULOIDE,,50,$29.80,,$29.80
,1000,0.58896,16,12/04/2016,TOALLAS INTERDOBLADA SURTIDA,,500,$294.48,,$588.96
,1,549.54,16,12/04/2016,ULTRABLEND C/2 JERINGAS,,1,$549.54,,$549.54
,1000,0.42444,16,12/04/2016,VASOS DESECHABLES,,1000,$424.44,,$424.44
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,,"$21,422.88",,
,,,,,,,,"$3,427.66",,
,,,,,,,,"$24,850.54",,
