SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,
SME-010110-DB7,,,,,,,,
,,,,,,,,
,,,,,,FECHA:,,
,,,,,,,,
,,,,,,ELABORADO POR:,,
,,,,,,Carlos Cantu,,
,,,,,,,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE
,71,0,0,,PARACETAMOL 500MG C/10 TAB.,712,0,0
,72,0,0,,AMLODIPINO 5MG C/10 TAB.,2593,0,0
,300,0,0,,AMBROXOL SOL. ORAL FCO. C/120ML,22,0,0
,21,0,0,,CLINDAMICINA 300MG C/2ML AMP.,238,0,0
,9,0,0,,METOPROLOL 100MG C/20 TAB.,2627,0,0
,32,0,0,,ENALAPRIL 10MG C/30 TAB.,2679,0,0
,87,0,0,,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,0,0
,37,0,0,,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,2797,0,0
,130,0,0,,RANITIDINA 300MG C/10 COMP.,2663,0,0
,14,0,0,,IBUPROFENO 200MG C/10 TAB.,2802,0,0
,60,0,0,,AMIKACINA 500MG C/1X2ML AMP.,2604,0,0
,102,0,0,,IBUPROFENO 400MG C/10 TAB.,2678,0,0
,50,0,0,,FUROSEMIDA 40MG C/20 TAB.,369,0,0
,259,0,0,,OMEPRAZOL 20MG C/14 CAP.,657,0,0
,32,0,0,,"PENICILINA PROCAINICA + BENCILPENICILINA 800,000UI + 1 AMP. DILUYENTE C/2ML",687,0,0
,200,0,0,,AMBROXOL 30MG C/20 COMP.,1450,0,0
,12,0,0,,KETOCONAZOL TUBO CREMA C/30GR,472,0,0
,200,0,0,,LORATADINA 5MG/5ML SOL. C/60ML,1885,0,0
,10,0,0,,PREDNISONA 5MG C/20 TAB.,1490,0,0
,59,0,0,,METFORMINA 850MG C/30 TAB.,1897,0,0
,27,0,0,,ALOPURINOL 300MG C/20 TAB.,54,0,0
,300,0,0,,LOSARTAN 50MG C/30 TAB.,2602,0,0
,33,0,0,,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,0,0
,29,0,0,,FLUCONAZOL 150MG C/1 CAP.,373,0,0
,34,0,0,,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647,0,0
,26,0,0,,BROMURO DE BUTILHIOSCINA + METAMIZOL 10MG/250MG C/10 GRAGEAS,2587,0,0
,30,0,0,,METFORMINA 500MG C/30 TAB.,310,0,0
