FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,3,,,,CLOBAZAM 10MG C/30 TAB.,581,,,
,15,,,,ATOMOXETINA 25MG C/14 CAP.,794,,,
,1,,,,GLATIRAMER 20MG/ML SOL. INY. C/28 JER. PRELLENADA,224,,,
,14,,,,PRAMIPEXOL 0.5MG C/30 TAB.,2411,,,
,20,,,,LAMOTRIGINA 25MG C/28 TAB. DISP.,709,,,
,14,,,,TRINITRATO DE GLICERILO 36MG x PARCHE (10MG/24 hrs C/7),2144,,,
,15,,,,LACTULOSA + PARAFINA LIQUIDA + PARAFINA BLANCA GEL ORAL FCO. C/150GR,2968,,,
,14,,,,ACIDO ACEXAMICO + NEOMICINA UNGUENTO 5GR/0.4GR EN 100GR TUBO C/40GR,727,,,
,14,,,,ITRACONAZOL + SECNIDAZOL C/12 CAP.,1370,,,
,14,,,,SUCRALFATO 1GR C/40 TAB.,2653,,,
,14,,,,LIDOCAINA + HIDROCORTISONA + SUBACETATO C/12 SUP.,896,,,
,15,,,,TRIMETOPRIMA + SULFAMETOXAZOL 40MG/200MG/5MG SUSP. FCO. C/120ML,2631,,,
,14,,,,DIFENIDOL 40MG/2ML SOL. INY. C/2 AMP.,273,,,
,15,,,,DESVENLAFAXINA 50MG C/28 COMP.,2905,,,
,13,,,,ANFEBUTAMONA 150MG LIB. PROL. C/30 TAB.,891,,,
,32,,,,FENTERMINA 15MG C/30 TAB.,2964,,,
,13,,,,BROMURO DE IPRATROPIO 20MCG SUSP. AEROSOL C/200 DOSIS EN 10ML,62,,,
,13,,,,ADAPALENE 1% CREMA C/30GR,1552,,,
,13,,,,LUTENIA + ZEAXANTINA SUPLEMENTO ALIMENTICIO DE LIB PROLONGADA 57GR C/60 TAB.,926,,,
,13,,,,LEVOCETIRIZINA GOTAS C/10ML,2736,,,
,10,,,,NEOMICINA + CAOLIN + PECTINA 36.65MG/500MG SUSP. C/75ML,2629,,,
,10,,,,KETOCONAZOL 200MG C/10 TAB.,2625,,,
,10,,,,DIPROPINATO DE BETAMETASONA + CALCIPOTRIOL 5MG/50MG TUBO UNGUENTO C/30GR,1026,,,
,13,,,,SULFADIACINA DE PLATA MICRONIZADA 1% CREMA TUBO C/30GR,67,,,
,13,,,,AMOXICILINA/ACIDO CLAVULANICO 200MG/285MG/5ML FCO. C/40ML,1852,,,
,12,,,,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,,,
,13,,,,ATOMOXETINA 60MG C/14 CAP.,966,,,
,14,,,,BIMATOPROST GOTAS 0.03% SOL. OFT. C/3ML,1058,,,
,7,,,,PERFENAZINA 4MG C/30 TAB.,587,,,
,12,,,,POLIETILENGLICOL + BICAR. SODICO + CL SODIO + CL DE POTASIO POLVO 109.6GR C/4 SOBRES,623,,,
,12,,,,VALPROATO DE MAGNESIO 500MG C/20 TAB.,37,,,
,12,,,,CLINDAMICINA + KETOCONAZOL 800/100MG C/3 TAB. VAGINALES,1029,,,
,12,,,,FELODIPINO + METOPROLOL 5/47.5MG C/14 TAB.,1176,,,
,12,,,,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,
,12,,,,ONDANSETRON 8MG C/10 TAB.,2843,,,
,12,,,,DIMENHIDRINATO 50MG C/20 TAB.,2652,,,
,12,,,,NAFAZOLINA + HIPROMELOSA OFT. GOTAS FCO C/15ML,1007,,,
,12,,,,BIMATOPROST + TIMOLOL 0.03%/0.05% SOL. OFT. C/3ML,1793,,,
,12,,,,ATOMOXETINA 18MG C/14 CAP.,804,,,
,12,,,,CEFTIBUTEN 36MG/ML SUSP. FCO C/30ML,167,,,
,12,,,,LIOFILIZADO ESTANDARIZADO DE LISADO BACTERIANOS INFANTIL 3.5MGS. C/10 CAP.,135,,,
,12,,,,SULFATO DE AMANTADINA 100MG C/30 TAB.,703,,,
,5,,,,APIXABAN 2.5MG C/60 TAB.,3019,,,
,12,,,,VERAPAMILO 40MG C/30 TAB.,274,,,
,12,,,,ACETATO DE CALCIO + SULFATO DE ALUMINIO C/12 SOBRES,280,,,
,1,,,,ETRAVIRINA 100MG FCO. C/120 TAB.,2438,,,
,10,,,,DARBEPOETINA ALFA 300MCG JER. PRELLENADA,2984,,,
,5,,,,TOFACITINIB 5MG C/56 TAB.,3024,,,
,12,,,,OXCARBAZEPINA 600MG C/20 GRAGEAS,1724,,,
,12,,,,"ACIDO ASCORBICO + VITAMINA A + ERGOCALCIFERO VIT. A,C,D SOL. GOTAS C/15ML",2770,,,
,1,,,,LAMIVUDINA 150MG C/60 TAB.,994,,,
,15,,,,BROMURO DE TIOTROPIO C/30 CAP. + DISPOSITIVO DOSIFICADOR,2878,,,
,11,,,,SALMETEROL + FLUTICASONA 50MCG/500MG FCO. C/60 DOSIS,2738,,,
,11,,,,HIDROSMINA 200MG C/20 CAP.,1730,,,
,11,,,,ISOCONAZOL TUBO CREMA C/40GR Y 7 APLICADORES,433,,,
,11,,,,VERALIPRIDA 100MG C/20 CAP.,4,,,
,11,,,,DOMPERIDONA SUSP. C/60ML,1011,,,
,11,,,,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8,,,
,11,,,,IMIQUIMOD SOBRES 250MG AL 5% C/12 SOBRES,15,,,
,11,,,,OLANZAPINA + FLUOXETINA 6/25MG C/14 CAP.,1180,,,
,11,,,,CITICOLINA 500MG C/10 COMP.,2632,,,
,11,,,,PIPERIDOLATO 100MG C/30 GRAGEAS,258,,,
,11,,,,HIALUNARATO DE SODIO 4.0MG D.U. C/20 ENVASES DE 0.5ML,1112,,,
,11,,,,ISOCONAZOL 600MG C/1 OVULO,434,,,
,11,,,,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,,
,11,,,,CLINDAMICINA 300MG C/2ML AMP.,238,,,
,10,,,,MIRTAZAPINA 30MG C/12 TAB. DISP.,740,,,
,10,,,,OLOPATADINA 0.2% SOL. OFT. C/2.5ML,666,,,
,10,,,,MOXIFLOXACINO 0.5% SOL. OFT. FCO C/5ML,880,,,
,10,,,,LIOFILIZADO ESTANDARIZADO DE LISADOS BACTERIANOS CAPSULAS ADULTOS 7MG C/10 CAP.,1795,,,
,10,,,,DEXAMETASONA + FENILEFRINA SOL. OFT. FCO. C/10ML,1506,,,
,10,,,,NORFLOXACINO 400MG C/20 GRAGEAS,633,,,
,10,,,,PREDNISONA 50MG C/20 TAB.,689,,,
,10,,,,CINARIZINA 75MG ENV. C/60 TAB.,237,,,
,10,,,,YODOPUVIDONA BUCOFARINGEO SOL. FCO. C/120ML ,793,,,
,10,,,,PROPRANOLOL 20MG C/24 TAB.,2976,,,
,10,,,,CEFUROXIMA 500MG C/10 TAB.,1488,,,
,10,,,,BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML,46,,,
,7,,,,BUPRENORFINA 30MG C/4 PARCHES (II),2758,,,
,10,,,,NEPAFENACO 1.0MG SOL. OFT. GOTAS C/5ML,2072,,,
,10,,,,VERAPAMILO 180MG C/15 TAB.,275,,,
,10,,,,TESTOSTERONA 250MG/1ML C/1 AMP.,2882,,,
,10,,,,SUPLEMENTO DE AMINOACIDOS Y CALORIAS POLVO SOBRE C/110GR,1733,,,
,10,,,,CLORMADINONA + MESTRANOL 2MG/80MCG C/21 TAB.,764,,,
,10,,,,MECLIZINA + PIRIDOXINA + LIDOCAINA C/1 AMP.,2841,,,
,9,,,,BROMHIDRATO DE GALANTAMINA 8MG C/14 CAP.,1587,,,
,3,,,,LEUPRORELINA 22.5MG C/1 AMP.,2911,,,
,9,,,,ACIDO POLIACRILICO GEL OFTALMICO TUBO C/10GR,879,,,
,1,,,,MALEATO DE ERGOMETRINA 0.2MG C/20 TAB.,344,,,
,2,,,,DEFERASIROX 500MG C/28 COMP.,2921,,,
,1,,,,TIROTROPINA ALFA 0.9MG/ML C/2 AMP. DE 10ML,2935,,,
,1,,,,DARUNAVIR 400MG C/60 TAB.,2986,,,
,1,,,,MARAVIROC 300MG C/60 TAB.,2993,,,
,9,,,,REPAGLINIDA 2MG C/30 COMP.,1042,,,
,9,,,,OXIMETAZOLINA + HIALURONATO DE SODIO OFTENO 1MG/0.125GR/0.5ML C/20 AMP.,1248,,,
,2,,,,GOSERELINA IMPLANTE CILINDRICO 3.6MG + JER. MONODOSICA,906,,,
,1,,,,CLORPROMAZINA 100MG C/20 COMP. (lll),2599,,,
,9,,,,TOLNAFTATO 1% SOL. FCO C/20ML,824,,,
,9,,,,DINITRATO DE ISOSORBIDA 5MG C/20 TAB.,2859,,,
,9,,,,VERAPAMILO + TRANDOLAPRIL 180MG/2MG LIB. PROL. C/15 TAB.,1567,,,
,10,,,,"NISTATINA 2,400,000UI SUSP. FCO. C/24ML",2846,,,
,9,,,,DEXAMETASONA + TOBRAMICINA UNGUENTO OFT. TUBO C/3.5GR,2676,,,
,9,,,,DILTIAZEM 180MG LIB. PROL. C/12 TAB.,2818,,,
,9,,,,DICLOXACILINA 250MG C/20 CAP.,85,,,
,10,,,,FLUTICASONA 250MCG FCO. PRESURIZADO C/60 DOSIS,360,,,
,8,,,,BUDESONIDA + FORMOTEROL 80MG/4.5MCG SPRAY,1782,,,
,10,,,,ACIDO VALPROICO 250MG C/30 CAP.,264,,,
,8,,,,ESTRADIOL + NORGESTREL 2MG/0.5MG C/21 GRAGEAS (11 BLANCAS Y 10 COLOR),682,,,
,8,,,,FLUTICASONA 0.5MG/2ML C/10 AMP.,1069,,,
,8,,,,MEDROXIPROGESTERONA 10MG C/10 TAB.,1555,,,
,8,,,,AMPICILINA 1GR I.M. C/1 AMP.,99,,,
,8,,,,METRONIDAZOL 5GR SUSP. C/120ML,1453,,,
