,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,10-oct-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,6,400,16,2016-10-21,JUEGO DE CANILAS NASOFARINGEAS,,,," $2,400.00 "
,2,32,16,2016-10-21,CONECTOR DE O2,,,, $64.00 
,6,85,16,2016-10-21,JUEGO DE CANULAS OROFARINGEAS,,,, $510.00 
,3,380,16,2016-10-21,BOLSA VALBULA MARSCARILLA ADULTO,,,," $1,140.00 "
,3,400,16,2016-10-21,BOLSA VALBULA MARSCARILLA NEONATO,,,," $1,200.00 "
,3,400,16,2016-10-21,BOLSA VALBULA MARSCARILLA PEDIATRICA,,,," $1,200.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,SUBTOTAL," $6,514.00 "
,,,,,,,,IVA," $1,042.24 "
,,,,,,,,TOTAL," $7,556.24 "
,,,,,,,,,
