FORMATO DE REQUISICIàN,,,,,
,,,,,
SME  ,,,,,
FOLIO,,,,,
A1,,,,,
DESTINO:,,,,,
,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION
,14,685.41,16,10/11/2015,PAPEL FASTWAY C/PLECA A 6.8CM C/5000
,15,74.58,16,10/11/2015,AIRE COMPRIMIDO SILIMEX 440ML AEROJET
,5,12.49,16,10/11/2015,BLOCK MEMOTIP JANEL 2X2 CUBO NEON MINI 5
,5,18.44,16,10/11/2015,BLOCK MEMOTIP JANEL 3X3 CUBO CAN CON 400
,5,15.53,16,10/11/2015,BLOCK MEMOTIP JANEL 58R RAYA CAN C/100
,84,1.98,16,10/11/2015,BOLIGRAFO BIC M-250-A P.M. AZUL
,48,1.98,16,10/11/2015,BOLIGRAFO BIC M-250-N P.M. NEGRO
,12,1.98,16,10/11/2015,BOLIGRAFO BIC M-250-R P.M. ROJO
,24,1.98,16,10/11/2015,BOLIGRAFO BIC M-250-V P.M. VERDE
,12,1.79,16,10/11/2015,BORRADOR PELIKAN WS-30 BLANCO
,5,118.90,16,10/11/2015,BROCHE PARA GAFETE BARRILITO CAI501 MET.
,3,14.45,16,10/11/2015,CARPETA FOLDATA CTA CAOBA PALANCA
,14,144.91,16,10/11/2015,CD-R VERBATIM C/50 94691
,12,5.94,16,10/11/2015,CERA CUENTA FACIL AZOR 64 14G
,20,11.96,16,10/11/2015,CINTA 3M 600 19X33 TRANSPARENTE
,5,37.30,16,10/11/2015,CINTA 3M 810 19X33 MAGICA
,6,38.14,16,10/11/2015,CINTA TUCK MASKING TAPE 110 48X50
,12,23.58,16,10/11/2015,CINTA TUK 179 48X150 CANELA
,6,23.58,16,10/11/2015,CINTA TUK 179 48X150 TRANSPARENTE
,6,18.98,16,10/11/2015,CINTA TUK MASKING TAPE 110 24X50
,20,9.40,16,10/11/2015,CLIP BACO # 1 NIQUELADO CON 100 NIQ1
,15,8.59,16,10/11/2015,CORRECTOR BIC BASE AGUA 20 ML. 506091
,10,6.73,16,10/11/2015,CORTADOR CORTY GDE PUNTA FLECHA 5025
,1,8.00,16,10/11/2015,CUADERNO SCRIBE S7970 PROF 1R ESP 100H
,1,170.28,16,10/11/2015,DVD+R VERBATIM 97174 C/50 GRABABLE
,1,43.90,16,10/11/2015,ENGRAPADORA PEGASO 204 1/2 TIRA NGO MET.
,2,296.00,16,10/11/2015,ETIQUETA AVERY 5161 2.5X10.2CM C/2000
,1,251.00,16,10/11/2015,ETIQUETASÿ TRANSPARENTES SEPARAÿ FACILÿ 5661 AVERY
,10,69.60,16,10/11/2015,FOLDER ECONOFILE CARTA CREMA CON 100
,5,242.88,16,10/11/2015,FOLDER FLASHFILE CTA C/100 ARCOIRIS 1167
,3,23.61,16,10/11/2015,FOLDER OXFORD C/PALANCA F219B PLAS
,10,19.65,16,10/11/2015,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD
,1,73.50,16,10/11/2015,PAPEL CONTAC BARRILITO 20MTS
,6,13.21,16,10/11/2015,PAPEL EUROCOLOR NEON STDO C/5
,30,39.90,16,10/11/2015,PAPEL SPEED COPY CARTA C/500
,3,17.15,16,10/11/2015,PEGAMENTO KOLA LOKA GOTA 2 GMS.
,5,34.94,16,10/11/2015,PILA DURACELL AA C/4 MN1500B4
,10,15.70,16,10/11/2015,PILAS CR2032 REDONDA 3 VOLTS  
,3,74.99,16,10/11/2015,PROTECTOR DE HOJAS KINERA CARTA CON 100
,2,7.96,16,10/11/2015,REGLA METALICA PILOT 30 CM.RAS-30
,60,4.12,16,10/11/2015,RESALTADOR HI-LITER AMARILLO
,12,4.12,16,10/11/2015,RESALTADOR HI-LITER AZUL
,24,4.12,16,10/11/2015,RESALTADOR HI-LITER NARANJA
,36,4.12,16,10/11/2015,RESALTADOR HI-LITER ROSA
,24,4.12,16,10/11/2015,RESALTADOR HI-LITER VERDE
,100,16.37,16,10/11/2015,ROLLO TERMICO 80X70 PUNTO DE VENTA
,100,7.44,16,10/11/2015,SOBRE LIBRETTO CTA BCO.C/RONDANA LB9146
,40,21.32,16,10/11/2015,SOBRES FORTEC P/CD BCO C/50
,5,12.70,16,10/11/2015,TIJERA BARRILITO T-6 MANGO PLASTICO
,13,1058.57,16,10/11/2015,TONER HP CE505A NEGRO P2035 LASERJET
,25,1225.44,16,10/11/2015,TONER HP CF280A NEGRO PROM401 LASERJET
