STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,,
,13,124,16,2016-07-29,TOALLA 700444 INTER TORK BLANCA C/2000,,ARSAIN,SG," $1,612.00 ",
,2,153,16,2016-07-29,HIG. 700527 180 MTS TORK C/12 ROLLOS,,ARSAIN,SG, $306.00 ,
,1,145,16,2016-07-29,TOALLA MOCAMBO C/6 160 MTS,,ARSAIN,SG, $145.00 ,
,1,18,16,2016-07-29,ACEITE DE PINO GENERICO,,ARSAIN,SG, $18.00 ,
,3,22,16,2016-07-29,LIMPIADOR MULTIUSOS GENERICO,,ARSAIN,SG, $66.00 ,
,1,18,16,2016-07-29,CLORO GENERICO,,ARSAIN,SG, $18.00 ,
,1,35,16,2016-07-29,JABON PARA MANOS LIQUIDO GENERICO AROMA DURAZNO,,ARSAIN,SG, $35.00 ,
,7,4.3,16,2016-07-29,PASTILLA 70GMS WIESE PZA,,ARSAIN,SG, $30.10 ,
,10,24,16,2016-07-29,AROMATIZANTE WIESE 400 ML AROMA HAWAIAN GINGER,,ARSAIN,SG, $240.00 ,
,1,38,16,2016-07-29,JABON PARA ROPA LIQUIDO GENERICO,,ARSAIN,SG, $38.00 ,
,1,38,16,2016-07-29,SUAVIZANTE PARA ROPA GENERICO,,ARSAIN,SG, $38.00 ,
,3,22,16,2016-07-29,BOLSA NEGRA 90 X 120,,ARSAIN,SG, $66.00 ,
,3,22,16,2016-07-29,BOLSA NEGRA 70 X 90,,ARSAIN,SG, $66.00 ,
,1,25.5,16,2016-07-29,MOP REFACCION 60CM,,ARSAIN,SG, $25.50 ,
,1,25.5,16,2016-07-29,TRAPEADOR MANGO ROJO,,ARSAIN,SG, $25.50 ,
,1,35,16,2016-07-29,ESCOBA BASTON LAMINA REFORZADA 80141 80473,,ARSAIN,SG, $35.00 ,
,,,,,,,,SUBTOTAL," $2,764.10 ",
,,,,,,,,TOTAL," $3,206.36 ",
,,,,,,,,,,
,,,,,,,,DISPONIBLE," $1,493.64 ",
