,,,,FORMATO DE REQUISICIÖN,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,05-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED1085,6,228,0,30/06/2016,CLORURO DE ETILO SPRAY ,,,,"$1,368.00"
MED1012,20,6.9,0,30/06/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,$138.00
MED0116,21,5.75,0,30/06/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,,$115.00
MED1032,21,5,0,30/06/2016,KETOROLACO 30MG AMP.,,,,$100.00
MED0255,8,30,0,30/06/2016,NEOSPORIN DERMICO UNG?ENTO DERMICO TUBO DE 30GR NEOMICINA + POLIMIXINA B + BACITRACINA,,,,$240.00
MAT4510,2,55,Ubold,30/06/2016,HOT PACK,,,,$110.00
MAT0484,300,0.85,Ubold,30/06/2016,GASA SECA ESTêRIL 10X10,,,,$255.00
MAT4509,8,55,Ubold,30/06/2016,COLD PACK,,,,$440.00
MAT0570,100,2,Ubold,30/06/2016,JERINGA 10CC (22X32),,,,$200.00
MAT0573,100,1.3,Ubold,30/06/2016,JERINGA 3ML (22X32),,,,$130.00
MAT0575,100,1.48,Ubold,30/06/2016,JERINGA 5CC (22X32),,,,$148.00
MAT0905,12,17.08,Ubold,30/06/2016,"TELA ADHESIVA 1""X5MTS",,,,$204.96
MAT1012,65,5,Ubold,30/06/2016,VENDA ELASTICA 10CMX4.5MTS,,,,$325.00
MAT1016,65,3.4,Ubold,30/06/2016,VENDA ELASTICA 5CMX4.5MTS,,,,$221.00
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
