FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
36,,,,,,02-nov-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
LAS AMERICAS,,,,,,DANIEL ACOSTA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,5,45,16,03/11/2015,AROMATIZANTE DE AMBIENTE P/ DISPENSADOR WIESE 191 G,,,,,
,4,199,16,03/11/2015,BOLSA NEGRA 24 X 24 C/1000,,,,,
,5,145,16,03/11/2015,PAPEL HIGIENICO 180 MTS TORK C/12 ROLLOS,,,,,
,5,115,16,03/11/2015,TOALLA INTERDOBLADA TORK 23.5 X 23.5 C.M. C/2000,,,,,
,1,330,16,03/11/2015,VASOS CONICOS DE PAPEL C/250  Nß104,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
