,,,,FORMATO DE REQUISICI?N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,18-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,18,119,16,18/04/2016,ABATELENGUAS C/500 PZAS.,,,"$2,142.00"
,3,12.5,16,18/04/2016,AGUA OXIGENADA 500 ML,,,$37.50
,5,87.5,16,18/04/2016,AGUJA DESECHABLE 18X38 MM. C/100 PZAS.,,,$437.50
,5,87.5,16,18/04/2016,AGUJA DESECHABLE 20X32 MM. C/100 PZAS.,,,$437.50
,5,87.5,16,18/04/2016,AGUJA DESECHABLE 21X32 MM. C/100 PZAS,,,$437.50
,5,87.5,16,18/04/2016,AGUJA DESECHABLE 22X32 MM. C/100 PZAS.,,,$437.50
,8,87.5,16,18/04/2016,AGUJA DESECHABLE 23X25 MM. C/100 PZAS.,,,$700.00
,36,31.5,16,18/04/2016,ALCOHOL ROJO 96 GR. LITRO CANITAS,,,"$1,134.00"
,6,275,16,18/04/2016,ALKAZYME PAQ. C/12 SOBRES 20GR.,,,"$1,650.00"
,3,2925,16,18/04/2016,ALKACIDE ESTERELIZANTE 1 LITRO,,,"$8,775.00"
,1,865,16,18/04/2016,ANTIESTREPTOLISINA 100 PBAS.,,,$865.00
,1,328.35,16,18/04/2016,APLICADOR PLASTICO C/ALGODON C/100 C/3,,,$328.35
,4,87.5,16,18/04/2016,APLICADORES DE MADERA CAJA C/750 PZAS.,,,$350.00
,4,5279,16,18/04/2016,ACTIVATOR FOR COBRAS INTEGRA,,,"$21,116.00"
,3,7385,16,18/04/2016,AVL HB CALIBRATOR 5XIML,,,"$22,155.00"
,7,641.7,16,18/04/2016,BARRERA CONVEXA NIMAG C/5,,,"$4,491.90"
,3,613.8,16,18/04/2016,BARRERA STOMAHESIVE FLEX 45MM C/5,,,"$1,841.40"
,4,613.8,16,18/04/2016,BARRERA STOMAHESIVE FLEX 70MM C/5,,,"$2,455.20"
,150,81,16,18/04/2016,BATA MEDICO-PACIENTE SMS AZUL C/10,,,"$12,150.00"
,20,32,16,18/04/2016,BATA PARA CIRUJANO,,,$640.00
,4,83,16,18/04/2016,BRAZALETE IDENTIFICACION,,,$332.00
,6,728.84,16,18/04/2016,BOLSA DRENABLE 70 MM C/10,,,"$4,373.04"
,4,728.84,16,18/04/2016,BOLSA DRENABLE S/F 70 MM C/10,,,"$2,915.36"
,4,728.84,16,18/04/2016,BOLSA DRENABLE TRANSPARENTE C/10,,,"$2,915.36"
,40,97,16,18/04/2016,BOLSA MEDIVAC 1LTO. PZA.,,,"$3,880.00"
,60,86.25,16,18/04/2016,BOLSA MEDIVAC 1.5 LTS. PZA.,,,"$5,175.00"
,40,16.25,16,18/04/2016,BOLSA RECOLECTORA DE ORINA 2 LTS. ADULTO,,,$650.00
,20,2.18,16,18/04/2016,BOLSA RECOLECTORA DE ORINA NINA,,,$43.60
