FORMATO DE REQUISICI?N,,,,,,
aps,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,
DESTINO:,,,,,,ELABORADO POR:
,,,,,,
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,60,1.65,0,25/01/2016,CEPACOL CLORURO DE CETILPIRIDINO C/20,
,60,2.1,0,25/01/2016,NEXT TAB CAJA C/20TAB,
,90,0.5,0,25/01/2016,TRIBEDOCE COMPL B TIAMINA/ PIRIDOXINA/ CIANOCOBALAMIN 100 MG C/30,
,12,0.54,0,25/01/2016,LOPERAMIDA 2 MG C/12 TABLETAS,
,72,0.89,0,25/01/2016,MECLIZINA + PIRIDOXINA 25MG TAB.,
,30,0.44,0,25/01/2016,LOSARTAN 50MG GRAGEAS,
,1,62,0,25/01/2016,ULTRA BENGUEN 35gr,
,1,31,0,25/01/2016,ACICLOVIR 200MG SUSP.,
,40,2.1,0,25/01/2016,FLEXIVER TABS 15 MG MELOXICAM C/10,
,100,2.2,0,25/01/2016,SAL DE UVAS PICOT C/50,
,200,0.57,16,25/01/2016,GASA SECA ESTERIL 7X5,
,30,4.43,0,25/01/2016,Caja Riopan c/30 sobres gel,
,50,0.73,16,25/01/2016,CUBREBOCAS DESECHABLE,
,6,15,0,25/01/2016,BOLSA DE COMPRESAS QUIRURGICAS,
,2,0.29,0,25/01/2016,DIFENIDOL 25MG TAB.,
,30,1.1,0,25/01/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,
