,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,11-feb-16,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,30,0,0,2016-02-11,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,,,
,30,0,0,2016-02-11,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,,,
,20,0,0,2016-02-11,AMITRIPTILINA 25MG C/50 TAB.,84,,,,,
,20,0,0,2016-02-11,BROMAZEPAM 3MG C/30 TAB.,588,,,,,
,50,0,0,2016-02-11,CLONAZEPAM 2.5MG/1ML GOTAS 10ML (II),468,,,,,
,14,0,0,2016-02-11,CLONAZEPAM 2MG C/30 COMP. (II),2410,,,,,
,11,0,0,2016-02-11,CLOZAPINA 100MG C/30 TAB. (II),606,,,,,
,11,0,0,2016-02-11,DICLOFENACO + CODEINA 50MG/50MG C/20 TAB.,2960,,,,,
,8,0,0,2016-02-11,METILFENIDATO 20MG C/30 CAP.,1779,,,,,
,20,0,0,2016-02-11,ERGOTAMINA + ACIDO ACETILSALICILICO + CAFEINA 1MG/400MG/50MG C/36 TAB. (II),773,,,,,
,5,0,0,2016-02-11,CLORHIDRATO DE METILFENIDATO 30MG C/30 CAP. (II),998,,,,,
,28,0,0,2016-02-11,PERFENAZINA 4MG C/30 TAB.,587,,,,,
,10,0,0,2016-02-11,FENOBARBITAL 100MG C/40 TAB. (II),579,,,,,
,5,0,0,2016-02-11,CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II),228,,,,,
,20,0,0,2016-02-11,PARACETAMOL + CODEINA 500MG/30MG C/30 CAP. (II),596,,,,,
,10,0,0,2016-02-11,BUPRENORFINA 30MG C/4 PARCHES (II),2758,,,,,
,30,0,0,2016-02-11,CLORHIDRATO DE IMIPRAMINA 25MG C/20 TAB.,2367,,,,,
,8,0,0,2016-02-11,LEVODOPA + CARBIDOPA 250MG/25MG C/100 TAB.,576,,,,,
,37,0,0,2016-02-11,HEMITARTRATO DE ZOLPIDEM 10MG C/30 TAB. (III),632,,,,,
,9,0,0,2016-02-11,CLOBAZAM 10MG C/30 TAB.,581,,,,,
