,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,05-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,6000,3.75,16,2016-09-05,AGUJA P/INSULINA PLUMA 31GX8,,,," $22,500.00 "
,6,61,16,2016-09-05,ANTIBENZIL SOL. JABON,,,, $366.00 
,100,16,16,2016-09-05,APLICADORES DE NITRATO DE PLATA 75% + NITRATO DE POTASIO 25%,,,," $1,600.00 "
,10,13,16,2016-09-05,BOLSA RECOLECTORA ORINA CAMA,,,, $130.00 
,400,0.55,16,2016-09-05,BOLSAS PARA ESTERILIZAR INSTRUMENTAL (7.5X28CM),,,, $220.00 
,32,110,0,2016-09-05,CAJA DE DIANEAL 4.25%,,,," $3,520.00 "
,120,110,0,2016-09-05,CAJA DIANEAL AL 1.5%,,,," $13,200.00 "
,1,1230,16,2016-09-05,CATETER VENOSO CENTRAL 3 VIAS 7FRX20CM,,,," $1,230.00 "
,680,0.91,16,2016-09-05,CONOS PARA OTOSCOPIA MEDIANOS,,,, $618.80 
,600,0.56,16,2016-09-05,CURITAS REDONDAS,,,, $336.00 
,1000,1.46,16,2016-09-05,GUANTES GINETAC,,,," $1,460.00 "
,2,57.5,16,2016-09-05,GUIA PARA TUBO ENDOTRAQUEAL,,,, $115.00 
,800,2,16,2016-09-05,JERINGA 10CC (22X32),,,," $1,600.00 "
,700,1.68,16,2016-09-05,JERINGA 1CC (29X13),,,," $1,176.00 "
,800,1.3,16,2016-09-05,JERINGA 3ML (21X32),,,," $1,040.00 "
,2000,1.3,16,2016-09-05,JERINGA 3ML (22X32),,,," $2,600.00 "
,800,1.3,16,2016-09-05,JERINGA 3ML (23X25),,,," $1,040.00 "
,2200,1.48,16,2016-09-05,JERINGA 5CC (22X32),,,," $3,256.00 "
,15,20,16,2016-09-05,KLEENEX CAJA,,,, $300.00 
,3,228,16,2016-09-05,ROLLO DE PAPEL ESTRASA,,,, $684.00 
,48,115.28,16,2016-09-05,SILKAM 2-0 C0264460 ,,,," $5,533.44 "
,48,115.28,16,2016-09-05,SILKAM 4-0 HR26 C0760404,,,," $5,533.44 "
,5,30,16,2016-09-05,SONDA FOLEY NO. 10,,,, $150.00 
,5,22,16,2016-09-05,SONDA FOLEY NO. 8,,,, $110.00 
,70,9,16,2016-09-05,SONDA NELATON NO. 14,,,, $630.00 
,150,19.6,16,2016-09-05,STERI STRIP 0.63X7.6X7.6,,,," $2,940.00 "
,2,9.5,16,2016-09-05,TUBO CAUCHO ASPIRACION 15MTS,,,, $19.00 
,3,25,0,2016-09-05,VASELINA,,,, $75.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
