,,,,FORMATO DE REQUISICI?N,,,,,,
,,,,(RAZON SOCIAL),,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
187,,,,,,14-mar-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
GE,,,,,,ALEJANDRO,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
,4,15,16,14/03/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO.,,,,$60.00,Ubold
,80,2,16,14/03/2016,ESTOLATO DE ERITROMICINA 500MG TAB.,,,,$162.40,Ubold
,100,0.6,16,14/03/2016,PIROXICAM TAB 20 MG C/20,,,,$50.00,Ubold
,1,27.5,16,14/03/2016,VITACILINA 28 GR,,,,$18.00,Ubold
,56,1.32,16,14/03/2016,TRIMETOPRIMA + SULFAMETOXAZOL 160/800 TABS,,,,"$1,509.11",Ubold
,20,0.55,16,14/03/2016,SENOSIDOS AYB C/20,,,,$11.00,Ubold
,2,204,16,14/03/2016,ISODINE DE 3.5 LTS,,,,$408.00,Ubold
