FORMATO DE REQUISICI…N,,,,,,,
,,,,,,,
MEDICA GLOBAL DE AGUASCALIENTES S.C.,,,,,,,
MGA141013KU2,,,,,,,
,,,,,,,
,,,,,,FECHA:,
,,,,,,20-ene-16,
,,,,,,ELABORADO POR:,
,,,,,,MARIA DEL REFUGIO VAZQUEZ URENCE ,
,,,,,,,
,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE
MED0041,50,3.24,0,30/01/2016,AMPULAS DE ATROPINA DE 1MG/1ML,,
MED0101,30,31,0,30/01/2016,AMPULAS DE COMVIBENT PARA NEBULIZAR ,,
MED4497,5,172,0,30/01/2016,BECLOMETASONA EN AEROSOL,,
MED0167,5,154,0,30/01/2016,POMADAS DE FURACIM,,
MED4463,5,226,0.16,30/01/2016,CLORURO DE ETILO DE 175ML,,
MAT4493,5,29,0.16,30/01/2016,TUBOS DE JALEA LUBRICANTE ASEPTICA,,
LAB0060,20,22,0.16,30/01/2016,PRUEBAS DE EMBARAZO DE PLUMA ,,
MAT0368,100,2.7,0.16,30/01/2016,ELECTRODOS PARA ELECTROCARDIOGRAFO,,
MED0092,6,29,0,30/01/2016,CLORAFENICOL EN UNGUENTO TUBO DE 5GRAMOS,,
MAT0597,100,2.26,0.16,30/01/2016,LIGADURAS UMBILICALES,,
MED1092,5,0.866666667,0.16,30/01/2016,CAJAS DE PROPANOLOL DE 40MG,,
MED4498,6,51,0,30/01/2016,NORFENEFRINA DE 10MG/ML,,
MED0321,6,34.5,0,30/01/2016,SALBUTAMOL EN AEROSOL,,
MED0002,20,0.65,0,30/01/2016,CAJAS DE ACIDO ACETILSALICILICO DE 500MG,,
MED0095,20,0.95,0,30/01/2016,CAJAS DE CLORFENAMINA COMPUESTA ,,
MED1087,20,2,0,30/01/2016,CAJAS DE NAPROXENO DE 550MG,,
MED4443,10,0.54,0,30/01/2016,CAJAS DE DICLOFENACO TABLETAS,,
MED0189,30,40,0,30/01/2016,AMPULAS DE HIDROCORTISONA DE 100MG,,
MED0090,100,5.2,0,30/01/2016,AMPULAS DE CLOXINATO DE LISINA ,,
MAT2046,6,27,0,30/01/2016,FRASCOS DE 50ML DE GLUCOSA AL 50%,,
MED0060,30,49,0,30/01/2016,AMPULAS DE BUTIHIOSCINA CON METAMIZOL,,
MAT1192,4,56,0.16,30/01/2016,GEL ANTIBACTERIAL DE  UN LITRO ,,
MAT2052,2,270,0.16,30/01/2016,GALONES DE JABON QUIRURGICO ,,
MED0057,25,8.4,0,30/01/2016,AMPULAS DE MECLOZINA/PIRIDOXINA/LIDOCAINA DE 1.0ML,,
MAT0668,10,22.5,0.16,30/01/2016,PILAS DE AAA DURACEL,,
MAT0633,12,12.5,0.16,30/01/2016,CINTA MICROPORE,,
MAT0484,300,1.1,0.16,30/01/2016,GASAS ESTERILES,,
MAT4011,3,185,0.16,30/01/2016,EQUIPOS DE PARTO. (INSTRUMENTAL),,
MED1066,150,10.8,0,30/01/2016,AMPULAS DE DEXAMETASONA,,
MED1032,70,5,0,30/01/2016,AMPULAS DE KETOROLACO ,,
MED4415,70,6,0,30/01/2016,AMPULAS DE DICLOFENACO ,,
MAT0221,2,540,0.16,30/01/2016,COLLARINES RIGIDOS ADULTO,,
MAT4501,3,3400,0.16,30/01/2016,BOTIQUINES DE TRAUMA,,
MAT0595,6,31,0,30/01/2016,LIDOCAINA SIMPLE AL 2%,,
