,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,07-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,150,4.1,0,22/03/2016,ADRENALINA 0.001G/1ML AMP. ,,,$615.00
,15,12.5,0,22/03/2016, ALUMINIO+MAGNESIO SUSP 360 ML,,,$187.50
,120,1.07,0,22/03/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SOLUCION PED. GOTAS 30 ML.,,,$128.40
,100,22,0,22/03/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED.60 ML,,,"$2,200.00"
,40,8,0,22/03/2016,AMBROXOL SOL. ORAL FCO.,,,$320.00
,30,1.7,0,22/03/2016,BIPERIDENO 5MG,,,$51.00
,180,21,0,22/03/2016,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,"$3,780.00"
,500,1.48,0,22/03/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,$740.00
,210,4.83,0,22/03/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,"$1,014.30"
,100,22.5,0,22/03/2016,CEFALOTINA 1GR/5ML AMPULA,,,"$2,250.00"
,30,429,0,22/03/2016,CIPROFLOXACINO 400MG FCO. 200ML ,,,"$12,870.00"
,80,15,0,22/03/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL. OTICA FCO.,,,"$1,200.00"
,30,12.3,0,22/03/2016,CLORANFENICOL SOL. OFT. ,,,$369.00
,30,21,0,22/03/2016,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,,,$630.00
,15,38.2,0,22/03/2016,CLOROPIRAMINA 20MG AMP.,,,$573.00
,80,8.9,0,22/03/2016,DEXTROMETORFANO 15MG/5ML JARABE FCO.,,,$712.00
,60,33.9,0,22/03/2016,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,"$2,034.00"
,300,1.49,0,22/03/2016,DICLOXACILINA 500MG CAP.,,,$447.00
,20,16.5,0,22/03/2016,DICLOXACILINA SUSP. 250MG FCO.,,,$330.00
,12,17,0,22/03/2016,DIMENHIDRINATO 25MG SUP.,,,$204.00
,10,10,0,22/03/2016,DOPAMINA 200MG/5ML SOL. INY.,,,$100.00
,25,19.7,0,22/03/2016,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 2ML SOL. INY. // PATENTE,,,$492.50
,10,3,0,22/03/2016,FUROSEMIDA 20MG/2ML AMP.,,,$30.00
,10,4.33,0,22/03/2016,GLICEROL 1.380GR SUP.,,,$43.33
,150,11,0,22/03/2016,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,,,"$1,650.00"
,300,6.9,0,22/03/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,"$2,070.00"
,1080,5,0,22/03/2016,KETOROLACO 30MG AMP.,,,"$5,400.00"
,60,31.9,0,22/03/2016,LIDOCAINA C/E 2% + C/ EPINEFRINA,,,"$1,914.00"
,60,31.9,0,22/03/2016,LIDOCAINA S/E 2% + S/EPINEFRINA // PATENTE,,,"$1,914.00"
,100,1.65,0,22/03/2016,LORATADINA + AMBROXOL 100MG/600MG,,,$165.00
,100,7,0,22/03/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,$700.00
,300,0.89,0,22/03/2016,MECLIZINA + PIRIDOXINA 25MG TAB.,,,$267.00
,80,180,0,22/03/2016,MECLIZINA + PIRIDOXINA JARABE FCO.,,,"$14,400.00"
,180,1.13,0,22/03/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,$203.40
,56,9.39,0,22/03/2016,MISOPROSTOL 200MCG TAB.,,,$526.00
,900,2.13,0,22/03/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,"$1,917.00"
,5,18,0,22/03/2016,OXIMETAZOLINA SOL. NASAL 50 MG FCO. NEB.,,,$90.00
,150,16,0,22/03/2016,PARACETAMOL 160MG JBE FCO.,,,"$2,400.00"
,100,9.5,0,22/03/2016,PARACETAMOL GTS 30ML ,,,$950.00
,10,70,0,22/03/2016,TETRACAINA SOL. OFTALMICA GTS. ,,,$700.00
,18,1.18,0,22/03/2016,TRIMETOPRIMA + SULFAMETOXAZOL 160/800 tabs,,,$21.21
,60,9.2,0,22/03/2016,TRIMETROPRIMA + SULFAMETOXAZOL 200/40MG SUSP.,,,$552.00
,1,136,0,22/03/2016,POLICRESULENO  407.5MG  ,,,$136.00
,56,0.55,0,22/03/2016,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,$30.80
,6,162,0,22/03/2016,TRITICUM VULGARE CREMA  ITALDERMOL  ,,,$972.00
,40,109,0,22/03/2016,ALIN DEPOT AMP 8MG EN 2ML ,,,"$4,360.00"
,6,334,0,22/03/2016,NITROFURAL POMADA TARRO,,,"$2,004.00"
,12,70.5,0,22/03/2016,LIBERTRIM SOL. INY 0.050GR/ 5ML C/6 AMP TRIMEBUTINA,,,$846.00
,,,,,,,,
,,,,,,,,"$75,509.45"
,,,,,,,, $-   
,,,,,,,,"$75,509.45"
