FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
35,,,,,,29-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU•OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,5,39.9,16,04/11/2015,HOJAS DE MAQUINA T. CARTA BOND,,ARSAIN,,,
,1,43.6,16,04/11/2015,MARCADORES PARA PIZARRON BLANCO,,ARSAIN,,,
,1,168.29,16,04/11/2015,PIZARRON BLANCO 40 x 60,,ARSAIN,,,
,1,19.65,16,04/11/2015,GRAPAS,,ARSAIN,,,
,1,35.24,16,04/11/2015,PILAS DURACELL AAA /4,,ARSAIN,,,
,5,4.12,16,04/11/2015,"MARCA TEXTOS , 2 NARANJAS 3 AMARILLOS",,ARSAIN,,,
,12,1.98,16,04/11/2015,PLUMAS NEGRAS,,ARSAIN,,,
,3,37.17,16,04/11/2015,REVISTEROS,,ARSAIN,,,
,3,192.6,16,04/11/2015,Regulador Koblenz 1400VA/600W con 8 contactos,,ARSAIN,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
