FORMATO DE REQUISICI…N,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,,
,,,,,,02-nov-16,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,,
,,,,,,ARTURO HEREDIA,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,,,
,110,155,0,07/11/2016,PARACETAMOL 1GR/100ML AMP. // PATENTE,,,,"$17,050.00",,,
,70,180,0,07/11/2016,MECLIZINA + PIRIDOXINA JARABE FCO.,,,,"$12,600.00",,,
,2,581,0,07/11/2016,ISOKET 10MG/10ML  DINITRATO DE ISOSORBIDA  SOL  INY  ,,,,"$1,162.00",,,
,220,39,0,07/11/2016,OMEPRAZOL 40MG/10ML SOL. INY.,,,,"$8,580.00",,,
,102,70,0,07/11/2016,KETOPROFENO 100 MG C/6 AMP.,,,,"$7,140.00",,,
,192,34,0,07/11/2016,DICLOFENACO SUSP. 0.18G/100MG ,,,,"$6,528.00",,,
,2000,2.9,0,07/11/2016,BUTILHIOSINA / METAMISOL GRAGEAS 10 / MG 250 MG C/10,,,,"$5,800.00",,,
,50,109,0,07/11/2016,ALIN DEPOT AMP 8MG EN 2ML ,,,,"$5,450.00",,,
,4000,1.35,0,07/11/2016,IBUPROFENO + PARACETAMOL 200MG/325MG TAB. // PATENTE,,,,"$5,400.00",,,
,70,65,0,07/11/2016,HIDROCORTISONA 500MG AMP.,,,,"$4,550.00",,,
,150,30,0,07/11/2016,DIPROPIONATO DE BETAMETASONA + FOSFATO 5MG/2MG DE 1ML HYPACK JERINGA PRELLENADA ,,,,"$4,500.00",,,
,1000,2.1,0,07/11/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,,"$2,100.00",,,
,450,8.33,0,07/11/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,,"$3,748.50",,,
