FORMATO DE REQUISICI‡N,,,,,,,,,,
MEDICA GLOBAL ARSAIN SA DE CV,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
20,,,,,,31-ago-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU•OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,13,115,16,2015-09-04,TOALLA INTER. TORK BLANCA C/2000 CLAVE 700044420,,ARSAIN,,,
,2,145,16,2015-09-04,PAPEL HIG. 700527 180 MTS TORK C/12 ROLLCLAVE 700527,,ARSAIN,,,
,7,4.5,16,2015-09-04,PASTILLAS (para ba§o),,ARSAIN,,,
,12,24,16,2015-09-04,"AROMATIZANTES WIESE 400 ML (., 7-AMORE, 5 DE MANZANA CON CANELA)",,ARSAIN,,,
,1,24,16,2015-09-04,TRAPEADOR M. VERDE GRANDE ALGOD‡N ,,ARSAIN,,,
,1,43,16,2015-09-04,LIMPIADOR BLEM PLEDGE ,,ARSAIN,,,
,1,130,16,2015-09-04,JABON ARCOIRIS (BOLSA DE 9K),,ARSAIN,,,
,2,7.7,16,2015-09-04,FRANELA GRIS METRO,,ARSAIN,,,
,1,199,16,2015-09-04,BOLSA PARA CESTO BASURA 24 X 24 NEGRA ,,ARSAIN,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
