,,,,FORMATO DE REQUISICI?N,,,,,,
,,,,(RAZON SOCIAL),,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD, PRECIO ,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
MED0276,150,0.45,0,24/02/2016,PARACETAMOL C/10 TAB. 500mg,,C/10,$4.50,$67.50,10
MED1008,3,17.5,0,24/02/2016,DICLOFENACO GEL,,PIEZA,$17.50,$52.50,1
MED1012,15,6.9,0,24/02/2016,DEXAMETASONA  SOL. INY. 8 MG,,PIEZA,$6.90,$103.50,1
MED1013,144,2.9,0,24/02/2016,BUTILHIOSINA / METAMISOL GRAGEAS,,CAJA C/10,$29.00,$417.60,10
MED1030,60,1,0,24/02/2016,IBUPROFENO  TAB. 400 MG,,CAJA C/10,$10.00,$60.00,10
MED1033,2,13,0,24/02/2016,NAFAZOLINA GOTAS OFTALMICAS,,PIEZA,$13.00,$26.00,1
MED1036,300,0.575,0,24/02/2016,PARACETAMOL / CAFEINA TABS,,CAJA C/20,$11.50,$172.50,20
MED1038,40,0.7,0,24/02/2016,TABLETAS DE RANITIDINA ,,C/10,$7.00,$28.00,10
MED1045,100,0.69,0,24/02/2016,KETOROLACO TAB. 10 MG,,C/10,$6.90,$69.00,10
MED1050,100,0.85,0,24/02/2016,BENZONATATO PERLAS ,,CAJA C/20,$17.00,$85.00,20
MED1059,144,1.75,0,24/02/2016,GRANEODIN TAB.,,CAJA C/24,$42.00,$252.00,24
MED1069,3,7.5,0,24/02/2016,BUTILHIOSCINA AMP 20 MG,,CAJA C/3,$22.50,$22.50,3
MED1089,50,0.85,0,24/02/2016,NIMESULIDA TAB. 100 MG,,CAJA C/10,$8.50,$42.50,10
MED1090,80,0.9,0,24/02/2016,LORATADINA TAB.,,CAJA C/10,$9.00,$72.00,10
MAT1012,7,5,16,24/02/2016,VENDAS ELASTICAS DE 10 cm,,PIEZA,$5.00,$35.00,1
MAT4043,100,1.2,16,24/02/2016,GASAS 10X10 ESTERILES ,,CAJA C/100,$120.00,$120.00,100
MED0002,60,0.55,0,24/02/2016,ACIDO ACETILSALICILICO 500MG,,CAJA C/20,$11.00,$33.00,20
MED0016,140,0.95,0,24/02/2016,Ambroxol 30 MG C/20 TAB,,CAJA C/10,$9.50,$133.00,10
MED0066,30,0.216666667,0,24/02/2016,CAPTOPRIL C/30  TAB. 25mg,,CAJA C/30,$6.50,$6.50,30
MED0120,90,0.316666667,0,24/02/2016,DIFENIDOL C/30 TAB. 25mg,,CAJA C/30,$9.50,$28.50,30
MED0215,45,3.666666667,0,24/02/2016,KETOROLACO AMP 30 MG,,CAJA C/3,$11.00,$165.00,3
MED0216,48,2.666666667,0,24/02/2016,KETOROLACO 30 MG C/4 TAB SUBLINGUAL ,,CAJA C/6,$16.00,$128.00,6
MED0223,80,0.75,0,24/02/2016,LOPERAMIDA  TAB. 2 MG,,CAJA C/12,$9.00,$60.00,12
MED0225,60,3.5,0,24/02/2016,LORATADINA/ FENILEFRINA,,CAJA C/10,$35.00,$210.00,10
MED0235,30,0.8,0,24/02/2016,METAMIZOL SODICO 500 MG,,CAJA C/10,$8.00,$24.00,10
MED0238,20,0.35,0,24/02/2016,METOCLOPRAMIDA,,CAJA C/20,$7.00,$7.00,20
MED0251,160,1.9,0,24/02/2016,NAPROXENO TAB 500 MG,,CAJA C/10,$19.00,$304.00,10
MAT0918,30,1.45,16,24/02/2016,TOALLAS SANITARIAS,,CAJA C/10,$14.50,$43.50,10
MAT1013,7,8,16,24/02/2016,VENDAS ELASTICAS DE 15 cm,,PIEZA,$8.00,$56.00,1
MAT1016,7,3.4,16,24/02/2016,VENDA ELASTICA 5 CM,,PIEZA,$3.40,$23.80,1
MED0367,1,31,0,24/02/2016,DEXNE OTICO GOTAS,,PIEZA,$31.00,$31.00,1
MED1029,20,1.1,0,24/02/2016,FENAZOPIRIDINA 100 MG,,CAJA C /20,$22.00,$22.00,20
MED4443,120,0.95,0,24/02/2016,DICLOFENACO EN TABLETAS C/10TAB,,CAJA C/10,$9.50,$114.00,10
MED4448,20,2.1,0,24/02/2016,BUTILHIOSINA GRAGEAS 10 MG,,CAJA C/10,$21.00,$42.00,10
MED4449,120,1.166666667,0,24/02/2016,"AMANTADINA , CLORFENAMINA, PARACETAMOL, (ROSEL T) C/15 TAB. 50mg/3mg/300 mg",,CAJA C/15,$17.50,$140.00,15
