,,,,FORMATO DE REQUISICIŒN,,
,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,13-jul-16
DESTINO:,,,,,,ELABORADO POR:
,,,,,,ARTURO HEREDIA
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,102,23.5,0,18/07/2016,AGUA DE IRRIGACION SOL. 1000ML.,
,10,389,0,18/07/2016,AGUA INY. 10 ML. C/100 AMP.,
,10,349.9,0,18/07/2016,AGUA INY. 5 ML. C/100 AMP.,
,2,10375,0,18/07/2016,BOTOX VIAL 200 UNIDADES,
,28,1260,0,18/07/2016,CAJA DE DIANEAL 1.5 % C/TAPON C/8 PZAS,
,37,1260,0,18/07/2016,CAJA DE DIANEAL 2.5 % C/TAPON C/8 PZAS,
,51,1260,0,18/07/2016,CAJA DE DIANEAL 4.25 % C/TAPON C/8 PZAS,
,316,18,0,18/07/2016,CLORURO DE SODIO 0.9 % 500 ML.,
,215,14,0,18/07/2016,CLORURO DE SODIO AL 9% ENV. 100 ML,
,320,21,0,18/07/2016,CLORURO DE SODIO AL 9% ENV. 1000 ML,
,213,15,0,18/07/2016,HARTMAN 250 ML.,
,197,18,0,18/07/2016,HARTMAN 500 ML,
,397,21,0,18/07/2016,HARTMAN 1000 ML,
,350,11.87,0,18/07/2016,SOLUCION CS INY. 100 ML. MINIOVAL,
,472,20.62,0,18/07/2016,SOLUCION CS INY. FLEXOVAL 1000 ML.,
,340,14,0,18/07/2016,SOLUCION CS INY. PLAS 250 ML,
,363,20.62,0,18/07/2016,SOLUCION DX-5 INY. FLEXOVAL 1000 ML.,
,224,20.62,0,18/07/2016,SOLUCION HT. INY. FLEXOVAL 1000 ML.,
,224,14,0,18/07/2016,SOLUCION HT. INY. PLAST 250 ML.,
,272,17.62,0,18/07/2016,SOLUCION HT. INY. PLAST 500 ML.,
,246,17.62,0,18/07/2016,SOLUCION DX-CS MIXTA INY. 500 ML.,
