FORMATO DE REQUISICIàN,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,DANIEL ACOSTA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,14,0,0,2015-09-14,5 FLUOROURACILO CREMA DE 5% TUBO C/20GR,2759,,,,$0.00
,156,0,0,2015-09-14,5-MONONITRATO DE ISOSORBIDA 60MG C/20 TAB.,446,,,,$0.00
,396,0,0,2015-09-14,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,,$0.00
,2,0,0,2015-09-14,ACEITE DE RICINO FCO. C/60ML,2684,,,,$0.00
,24,0,0,2015-09-14,ACETATO DE CALCIO + SULFATO DE ALUMINIO C/12 SOBRES,280,,,,$0.00
,5,0,0,2015-09-14,ACETAZOLAMIDA 250MG C/30 TAB.,3,,,,$0.00
,24,0,0,2015-09-14,ACETONIDO DE FLUOCINOLONA + CLIOQUINOL TUBO CREMA C/30GR,2766,,,,$0.00
,89,0,0,2015-09-14,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,,,$0.00
,77,0,0,2015-09-14,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,,,$0.00
,12,0,0,2015-09-14,ACETONIDO DE FLUOCINOLONA TUBO C/30GR,511,,,,$0.00
,118,0,0,2015-09-14,ACICLOVIR 200MG/5ML FCO. C/120ML,501,,,,$0.00
,54,0,0,2015-09-14,ACICLOVIR 400MG C/35 COMP.,545,,,,$0.00
,6,0,0,2015-09-14,ACICLOVIR COMPRIMIDOS 200MG C/25 COMP.,1424,,,,$0.00
,41,0,0,2015-09-14,ACICLOVIR TUBO CREMA C/5GR,2607,,,,$0.00
,2,0,0,2015-09-14,ACICLOVIR UNG?ENTO OFTALMICO 3GR EN 100GR TUBO C/4.5GR,2767,,,,$0.00
,1375,0,0,2015-09-14,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,,$0.00
,7,0,0,2015-09-14,ACIDO ACETILSALICILICO 500MG C/20 TAB.,2768,,,,$0.00
,18,0,0,2015-09-14,ACIDO ACEXAMICO + NEOMICINA UNG?ENTO 5GR/0.4GR EN 100GR TUBO C/40GR,727,,,,$0.00
,2,0,0,2015-09-14,ACIDO ACEXAMICO 5GR/100GR UNG?ENTO TUBO C/40GR,726,,,,$0.00
