FORMATO DE REQUISICI‡N,,,,,,,,,,,
 Razon Social : GQU141119GH5,,,,,,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
9,,,,,,18-nov-15,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
Clinica ,,,,,,Dra Angelica Trevi§o,,,,,
,,,,,,,, BENEFIC ,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,,
MAT0001,200,0.2,16,2015-11-20,ABATELENGUAS paq c/ 25 pzas,,25, $5.00 , $40.00 ,8,
MAT4061,1,48,16,2015-11-20,BOLSAS RPBI 8roja,,1, $48.00 , $48.00 ,1,
MAT0891,12,23.25,16,2015-11-20,catgut cromico 2-0 2612,,12, $279.00 , $279.00 ,1,
MAT0892,12,23.25,16,2015-11-20,catgut cromico 3-0  caja c/ 12 pzas,,12, $279.00 , $279.00 ,1,
MED0116,60,6,0,2015-11-20,Diclofenaco de 75 mg caja con 2ampulas ,,2, $12.00 , $360.00 ,30,
MAT1171,100,1.38,16,2015-11-20,Jeringas 3ml caja con 100 pzas,,100, $138.00 , $138.00 ,1,
MAT0615,10,34.7,16,2015-11-20,MASCARILLA CON RESERVORIO ADULTO,,1, $34.70 , $347.00 ,10,
MAT0614,14,34.7,16,2015-11-20,Mascarilla con reservorio pediatrica ,,1, $34.70 , $485.80 ,14,
MED0276,100,0.485,0,2015-11-20,Paracetamol Caja con 10 tab ,,10, $4.85 , $48.50 ,10,
MAT0738,10,7.8,16,2015-11-20,Puntas nasales adulto ,,1, $7.80 , $78.00 ,10,
MAT1016,18,3.5,16,2015-11-20,Vendas elasticas 5 cm ,,1, $3.50 , $63.00 ,18,
MAT1188,30,6.8,16,2015-11-20,Venopack de Normogotero ,,1, $6.80 , $204.00 ,30,
MAT0042,4,22,16,2015-11-20,ALCOHOL FCO DE 920ml ,,1, $22.00 , $88.00 ,4,
MAT0836,3,15.9,16,2015-11-20,SONDA FOLEY 2 VIAS #16,,1, $15.90 , $47.70 ,3,
MAT0837,2,15.9,16,2015-11-20,SONDA FOLEY 2 VIAS #18,,1, $15.90 , $31.80 ,2,
MAT0838,2,15.9,16,2015-11-20,SONDA FOLEY 2 VIAS #20,,1, $15.90 , $31.80 ,2,
MAT0835,3,15.9,16,2015-11-20,SONDA FOLEY 2 VIAS #14,,1, $15.90 , $47.70 ,3,
MAT0834,3,15.9,16,2015-11-20,SONDA FOLEY 2 VIAS #12,,1, $15.90 , $47.70 ,3,
MAT0875,2,14.8,16,2015-11-20,SONDA NELATON #14,,1, $14.80 , $29.60 ,2,
MAT0874,3,14.8,16,2015-11-20,SONDA NELATON #12,,1, $14.80 , $44.40 ,3,
MAT0873,3,14.8,16,2015-11-20,SONDA NELATON #10,,1, $14.80 , $44.40 ,3,
MAT0878,2,14.8,16,2015-11-20,SONDA NELATON #8,,1, $14.80 , $29.60 ,2,
MAT0876,3,14.8,16,2015-11-20,SONDA NELATON #16,,1, $14.80 , $44.40 ,3,
,,,,,,,,," $2,857.40 ",,
