STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,,
,2,11.5,16,2016-05-30,CEPILLO DE NYLON PARA WC SIN BASE,,ARSAIN, $23.00 ,,
,6,46.76,16,2016-05-30,PAPEL SPEED COPY CARTA CON 500 HOJAS,,ARSAIN, $280.56 ,,
,1,45.37,16,2016-05-30,MARCADOR MAGISTRAL DID.C/4 COLORES,,ARSAIN, $45.37 ,,
,1,79.98,16,2016-05-30,PROTECTOR DE HOJAS KINERA CARTA CON 100,,ARSAIN, $79.98 ,,
,2,5.63,16,2016-05-30,RESALTADOR HI-LITER NARANJA,,ARSAIN, $11.26 ,,
,5,2.76,16,2016-05-30,LAPIZ BEROL MIRADO NUM 2 HEXAGONAL MEDIANO,,ARSAIN, $13.80 ,,
,12,2.13,16,2016-05-30,BOLIGRAFO BIC M-250-N PUNTO MEDIANO NEGRO,,ARSAIN, $25.56 ,,
,,,,,,,, $479.53 ,,
,,,,,,,, $556.25 ,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,"-$4,143.75 ",,
