STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,,,,,,,,,,,,,,,
,3000,0,0,2016-08-03,OMEPRAZOL 20MG C/14 CAP.,657,,,,,,,,,,,,,,,,,,,
,1255,0,0,2016-08-03,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,,,,,,,,,,,,,,,,,
,1785,0,0,2016-08-03,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,,,,,,,,,,,,,,,
,1575,0,0,2016-08-03,ATORVASTATINA 20MG C/10 TAB.,2761,,,,,,,,,,,,,,,,,,,
,1575,0,0,2016-08-03,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,,,,,,,,,,,,,,,,,
,1575,0,0,2016-08-03,IBUPROFENO 400MG C/10 TAB.,2678,,,,,,,,,,,,,,,,,,,
,1169,0,0,2016-08-03,PARACETAMOL 500MG C/10 TAB.,712,,,,,,,,,,,,,,,,,,,
,1365,0,0,2016-08-03,ATORVASTATINA 10MG C/20 TAB.,2762,,,,,,,,,,,,,,,,,,,
,1299,0,0,2016-08-03,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,,,,,,,,,,,,,,,,,
,1260,0,0,2016-08-03,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,296,,,,,,,,,,,,,,,,,,,
,1260,0,0,2016-08-03,PARACETAMOL 1GR C/20 TAB.,810,,,,,,,,,,,,,,,,,,,
,1260,0,0,2016-08-03,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,,,,,,,,,,,,,,,,,
,1260,0,0,2016-08-03,AMLODIPINO 5MG C/10 TAB.,2593,,,,,,,,,,,,,,,,,,,
,945,0,0,2016-08-03,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552,,,,,,,,,,,,,,,,,,,
,840,0,0,2016-08-03,PIOGLITAZONA 30MG C/7 TAB.,914,,,,,,,,,,,,,,,,,,,
,840,0,0,2016-08-03,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,2608,,,,,,,,,,,,,,,,,,,
,840,0,0,2016-08-03,METFORMINA 850MG C/30 TAB.,1897,,,,,,,,,,,,,,,,,,,1
,840,0,0,2016-08-03,KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,2796,,,,,,,,,,,,,,,,,,,
,800,0,0,2016-08-03,DICLOFENACO 1.160% GEL C/60GR,371,,,,,,,,,,,,,,,,,,,
,735,0,0,2016-08-03,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,,,,,,,,,,,,,,,,,
,683,0,0,2016-08-03,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,,,,,,,,,,,,,,,,,
,676,0,0,2016-08-03,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,,,,,,,,,,,,,,,,,
,571,0,0,2016-08-03,PREGABALINA 75MG C/28 CAP.,512,,,,,,,,,,,,,,,,,,,
,649,0,0,2016-08-03,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,,,,,,,,,,,,,,,,,
,648,0,0,2016-08-03,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,,,,,,,,,,,,,,,,,
,639,0,0,2016-08-03,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,,,,,,,,,,,,,,,,,
,630,0,0,2016-08-03,SENOSIDOS A-B 374MG C/30 TAB.,789,,,,,,,,,,,,,,,,,,,
,441,0,0,2016-08-03,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376,,,,,,,,,,,,,,,,,,,
