FORMATO DE REQUISICI…N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-oct-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,SARA HERNANDEZ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,2000,,,,OMEPRAZOL 20MG C/14 CAP.,657,,,
,1700,,,,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,
,1500,,,,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,
,1350,,,,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,
,1200,,,,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICAOR INTERCAMBIABLE AD Y ,2552,,,
,1100,,,,PARACETAMOL 1GR C/20 TAB.,810,,,
,1000,,,,ATORVASTATINA 20MG C/10 TAB.,2761,,,
,1000,,,,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,
,1000,,,,DICLOFENACO 1.160% GEL C/60GR,371,,,
,1000,,,,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,
,850,,,,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,
,850,,,,PARACETAMOL 500MG C/10 TAB.,712,,,
,800,,,,ATORVASTATINA 10MG C/20 TAB.,2762,,,
,750,,,,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,
,750,,,,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,
,750,,,,PIOGLITAZONA 30MG C/7 TAB.,914,,,
,750,,,,AMLODIPINO 5MG C/10 TAB.,2593,,,
,700,,,,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,
,700,,,,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,2608,,,
,650,,,,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,
,600,,,,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,,,
,600,,,,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,
,600,,,,ATORVASTATINA 40MG C/10 TAB.,2763,,,
,500,,,,ETORICOXIB 90MG C/14 COMP.,965,,,
,500,,,,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,296,,,
,500,,,,ESPORAS DE BACILLUS CLAUSII 2 BILLONES UFC C/20 AMP.,1126,,,
,500,,,,CEFALEXINA 500MG C/20 CAP.,169,,,
,500,,,,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664,,,
,500,,,,METFORMINA 850MG C/30 TAB.,1897,,,
,500,,,,IBUPROFENO 400MG C/10 TAB.,2678,,,
,450,,,,FENOFIBRATO 160MG C/30 CAP.,1190,,,
,450,,,,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,
,450,,,,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,
,400,,,,VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,2924,,,
,400,,,,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,
,400,,,,VALSARTAN 160MG C/30 GRAGEAS,1767,,,
,400,,,,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,
,400,,,,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,,,
,400,,,,PARACETAMOL 750MG C/10 TAB.,2582,,,
,400,,,,METFORMINA 500MG C/30 TAB.,310,,,
,400,,,,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,2797,,,
,350,,,,VALSARTAN + HIDROCLORTIAZIDA 160MG/25MG C/30 GRAGEAS,233,,,
,350,,,,SITAGLIPTINA 100MG C/14 COMP.,456,,,
,350,,,,MOMETASONA 0.05% SPRAY NASAL PED. C/10ML Y 60 NEBUL.,735,,,
,350,,,,LEVOTIROXINA SODICA 50MCG C/50 TAB.,937,,,
,350,,,,DIMETICONA + PANCREATINA + EXTRACTO SECO BILIS DE BUEY CELULOSA DEL ASPERGILLUS NIGER CON CAPA E C/50 GRAGEAS,327,,,
,350,,,,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,,,
,350,,,,IBUPROFENO 2GR/100ML SUSP. 120ML,55,,,
,350,,,,LOSARTAN 50MG C/30 TAB.,2602,,,
,350,,,,FLUCONAZOL 150MG C/1 CAP.,373,,,
,350,,,,BROMURO DE BUTILHIOSCINA + METAMIZOL 10MG/250MG C/10 GRAGEAS,2587,,,
,350,,,,ENALAPRIL 10MG C/30 TAB.,2679,,,
,350,,,,AMBROXOL SOL. ORAL FCO. C/120ML,22,,,
,320,,,,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,
,320,,,,METACARBAMOL + PARACETAMOL 400/350MG C/30 TAB.,201,,,
,320,,,,ALOPURINOL 300MG C/20 TAB.,54,,,
,300,,,,ESCITALOPRAM 10MG C/28 TAB.,497,,,
,300,,,,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,,,
,300,,,,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,
,300,,,,POLIETILENGLICOL FCO. POLVO C/255GR,256,,,
,300,,,,DESLORATADINA 5MG C/30 TAB.,45,,,
