,,,,,,,OC,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA: ,,23-may-16,,,,,,REQ. JUNIO,,,,
LUGAR DE ENTREGA: ,,ISSSTELEON / LUIS REZA,,,,,,,,,,
PROVEEDOR:,,PROMOVAGO,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,"SUB-TOTAL
SIN IVA"
,500,26.33,16,06/05/2016,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,,,,,,"$13,165.00"
,3,552.14,16,06/05/2016,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,,,,,,,"$1,656.42"
,1,1525.84,16,06/05/2016,LIMPIADOR ENZIMATICO CONCENTRADO GALON ZYMEX,,,,,,,"$1,525.84"
,4,249.59,16,06/05/2016,ULTRABLEND C/2 JERINGAS,,,,,,,$998.36
,400,1.38,16,06/05/2016,APLICADORES DE FIBRA DESECHABLES,,,,,,,$552.00
,1,487.03,16,06/05/2016,ACEITE LUBRICANTE (PANASPRAY),,,,,,,$487.03
,5,34.05,16,06/05/2016,BANDA MATRIZ METALICA 3/16,,,,,,,$170.25
,4,48.84,0,06/05/2016,ANESTESIA TOPICA FCO. 30GR,,,,,,,$195.36
,200,0.6944,16,06/05/2016,PANOS EXPRIMIDORES DE AMALGAMA C/50,,,,,,,$138.88
,3,37.95,16,06/05/2016,OXIDO DE ZINC DENTSPLY,,,,,,,$113.85
,10,9.15,0,06/05/2016,ANESTESIA AL 2%,,,,,,,$91.50
