,,,,FORMATO DE REQUISICIÖN,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
MAT0002,75,0.22,16,17/06/2016,ABATELENGUAS C/25,
MAT4510,2,55,16,17/06/2016,HOT PACK,
MAT0347,100,0.18,16,17/06/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,
MAT0075,200,0.576,16,17/06/2016,CURITAS REDONDAS,
MAT1195,2,31,16,17/06/2016,DERMA QRIK FCO. 500ML,
MAT0368,200,2.7,16,17/06/2016,ELECTRODOS PARCHE,
MAT0484,600,0.85,16,17/06/2016,GASA SECA ESTêRIL 10X10,
MAT4509,2,55,16,17/06/2016,COLD PACK,
MAT0573,600,1.3,16,17/06/2016,JERINGA 3ML (22X32),
MAT0575,300,1.48,16,17/06/2016,JERINGA 5CC (22X32),
MAT0628,2,165,16,17/06/2016,MICROCYN SOL. ANTISEPTICA 240ML,
MAT1165,2,55,16,17/06/2016,ROLLO DE ELECTROCARDIOGRAMA LIFE PACK 12,
MAT0669,8,11.5,16,17/06/2016,"PILA ""C""",
MAT0895,13,15.08,16,17/06/2016,SUTURA NYLON 3,
MAT0905,12,17.08,16,17/06/2016,"TELA ADHESIVA 1""X5MTS",
EQU038,3,55,16,17/06/2016,TERMOMETRO DIGITAL,
