FORMATO DE REQUISICI?N,,,,,,,,,,,,
,,,,,,,,,,,,
SME ,,,,,,,,,,,,
SME-100521K58,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,29-dic,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,MARCA,MODELO,DESCRIPCION,PRECIO REFERENCIA
,10,220,16,29/12/2015,EQUIPO PARA INFUSOMAT SPACE C/BURETA 8250294SP,,,,,,,
,50,180,16,29/12/2015,EQUIPO PARA INFUSOMAT SPACE LIBRE DE AGUJA 8700110SP,,,,,,,
,10,55,16,29/12/2015,RECOLECTOR P/MATERIAL PUNZOCORANTE 3.7LTS,,,,,,,
,10,33.9,16,29/12/2015,CINTA TESTIGO ROLLO 18MM ANCHOX50CM,,,,,,,
