,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD, PRECIO ,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,300,6.9,16,2016-07-19,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,," $2,070.00 "
,280,0.55,16,2016-07-19,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,, $154.00 
,500,0.48,16,2016-07-19,AMBROXOL 30MG COMP. ,,,, $240.00 
,500,1.33,16,2016-07-19,AMOXICILINA 500,,,, $665.00 
,50,30,16,2016-07-19,BETAMETASONA AMP,,,," $1,500.00 "
,600,0.74,16,2016-07-19,CAFIASPIRINA ADULTO TAB C/100,,,, $444.00 
,350,1.13,16,2016-07-19,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,, $395.50 
,180,1.97,16,2016-07-19,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,, $354.60 
,70,31.5,16,2016-07-19,CEFTRIAXONA 1GR AMP.,,,," $2,205.00 "
,400,3.77,16,2016-07-19,CETIRIZINA TAB 10 MG C/10,,,," $1,508.00 "
,300,0.18,16,2016-07-19,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,, $54.00 
,400,0.47,16,2016-07-19,DICLOFENACO 100MG TAB.C/10,,,, $188.00 
,700,1.49,16,2016-07-19,DICLOXACILINA 500MG CAP.,,,," $1,043.00 "
,600,2.85,16,2016-07-19,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,," $1,710.00 "
,80,2.65,16,2016-07-19,FENAZOPIRIDINA/AC NALIDIXICO,,,, $212.00 
,15,146,16,2016-07-19,FURACIN POMADA 85 GR.,,,," $2,190.00 "
,720,1.75,16,2016-07-19,GRANEODIN B 10 MG 4 BENZOCAINA ,,,," $1,260.00 "
,54,20,16,2016-07-19,HIDRASEC TAB 100 MG C/9,,,," $1,080.00 "
,60,2.67,16,2016-07-19,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,, $160.20 
,40,0.65,16,2016-07-19,ISORBIDE TAB SUBLINGUALES 10 MG,,,, $26.00 
,400,1.3,16,2016-07-19,JERINGA 3ML (22X32),,,, $520.00 
,400,1.48,16,2016-07-19,JERINGA 5CC (22X32),,,, $592.00 
,625,2.13,16,2016-07-19,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,," $1,331.25 "
,6,83.5,16,2016-07-19,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,, $501.00 
,28,6.42,16,2016-07-19,LEVOFLOXACINO 500MG C/7 TABLETAS,,,, $179.76 
,480,0.75,16,2016-07-19,LOPERAMIDA 2 MG C/12 TABLETAS,,,, $360.00 
,400,0.8,16,2016-07-19,LORATADINA 10MG GRAGEAS,,,, $320.00 
,8,67,16,2016-07-19,LYSOL DESINFECTANTE ,,,, $536.00 
