,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,26-may-16,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,150,0,0,0,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,,,
,7,0,0,0,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,,,,
,20,0,0,0,ACETONIDO DE FLUOCINOLONA + POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. OTICAS FCO. C/15ML,775,,,,,
,2,0,0,0,ACICLOVIR TUBO CREMA C/5GR,2607,,,,,
,300,0,0,0,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,,,
,7,0,0,0,ACIDO ACEXAMICO + NEOMICINA UNGUENTO 5GR/0.4GR EN 100GR TUBO C/40GR,727,,,,,
,5,0,0,0,ACIDO ASCORBICO 500MG C/100 TAB.,175,,,,,
,200,0,0,0,ACIDO FOLICO 5MG C/50 TAB.,52,,,,,
,5,0,0,0,ACIDO IBANDRONICO 150MG C/1 COMP.,1154,,,,,
,2,0,0,0,ACIDO MEFENAMICO 500MG C/20 TAB.,2773,,,,,
,5,0,0,0,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,,,,
,4,0,0,0,ACIDO RETINOICO TUBO CREMA C/20GR,1432,,,,,
,9,0,0,0,ACIDO SALICILICO + ACIDO LACTICO + SOL. 26%/15% FCO. C/15ML,3031,,,,,
,7,0,0,0,ACIDO TIAPROFENICO 300MG C/30 COMP.,772,,,,,
,100,0,0,0,ACIDO TIOCTICO 600MG C/30 TAB.,848,,,,,
,9,0,0,0,ACIDO URSODESOXICOLICO 250MG C/50 CAP.,861,,,,,
,7,0,0,0,ACIDO VALPROICO 250MG C/30 CAP.,264,,,,,
,35,0,0,0,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,,,
,8,0,0,0,ACIDO ZOLEDRONICO 4MG AMP. FCO. 5ML,907,,,,,
,53,0,0,0,ADALIMUMAB 40MG JER. PRELLENEDA,2016,,,,,
,2,0,0,0,ADAPALENE 1% CREMA C/30GR,1552,,,,,
,600,0,0,0,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552,,,,,
,5,0,0,0,ALBENDAZOL 200MG C/2 TAB.,957,,,,,
,2,0,0,0,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,,,
,9,0,0,0,ALENDRONATO SODICO 70MG C/4 TAB.,1945,,,,,
,100,0,0,0,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,,,
,20,0,0,0,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,,,
,7,0,0,0,ALMOTRIPTAN 12.5MG C/2 COMP.,2942,,,,,
,33,0,0,0,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,,,
,22,0,0,0,ALPRAZOLAM 0.50MG C/30 TAB. (II),2779,,,,,
,5,0,0,0,ALPRAZOLAM 1MG C/30 COMP. (II),1448,,,,,
,2,0,0,0,ALTHERA POLVO LATA C/450GR,2019,,,,,
,18,0,0,0,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,,,
,100,0,0,0,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30,,,,,
