,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
SME,,,,,,03-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2000,1.6,16,2016-06-03,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,," $3,200.00 "
,10,84,16,2016-06-03,"ANTIGENO PARATIFICO ""B"" FCO. 5ML",,,, $840.00 
,10,84,16,2016-06-03,"ANTIGENO TIFICO ""H"" FCO. 5ML",,,, $840.00 
,50,9.42,16,2016-06-03,PLACA D/AGAR MUELLER-HINTON,,,, $471.00 
,100,11.81,16,2016-06-03,PLACA D/AGAR SAL-MANITOL,,,," $1,181.00 "
,400,10.92,16,2016-06-03,PLACA DE AGAR EMB,,,," $4,368.00 "
,300,9.42,16,2016-06-03,PLACA DE AGAR SALMONELLA-SHIGELLA,,,," $2,826.00 "
,300,14.98,16,2016-06-03,PLACA DE AGAR SANGRE,,,," $4,494.00 "
,450,14.98,16,2016-06-03,PLACA DE AGAR SANGRE CON AZIDA,,,," $6,741.00 "
,10,11.81,16,2016-06-03,PLACA DE AGAR XLD,,,, $118.10 
,10,30.9,16,2016-06-03,PLACA DE BBL CHROMAGAR CANDIDA,,,, $309.00 
,10,43.52,16,2016-06-03,PLACA DE BBL CHROMAGAR STAPH AUREUS,,,, $435.20 
,600,3.8,16,2016-06-03,PRUEBA DE EMBARAZO DE 200 MU/MI,,,," $2,280.00 "
,20,85.9,16,2016-06-03,PRUEBA PARA ROTAVIRUS CAJA CON 20 O 30 PRUEBA RAPIDA,,,," $1,718.00 "
,1,139.97,16,2016-06-03,REACTIVO ANTIDOPING MULTIDROGAS 8 PRUEBAS VASO,,,, $139.97 
,1050,28.44,16,2016-06-03,REACTIVO H.I.V. PRUEBAS RAPIDAS,,,," $29,862.00 "
,1200,3.24,16,2016-06-03,RPR CAJA C/200 PRUEBAS,,,," $3,888.00 "
,3500,1.6,16,2016-06-03,TUBOS VACUTAINER TAPON LILA 4ML,,,," $5,600.00 "
,100,11.92,16,2016-06-03,PLACA DE AGAR GELOSA-CHOCOLATE PAQ. C/10 B.D. CAD. 3 MESES,,,," $1,192.00 "
,80,11.92,16,2016-06-03,PLACA DE AGAR THAYER-MARTIN PAQ. C/10 B.D.,,,, $953.60 
,2,90,16,2016-06-03,SUEROS ANTI-A  FCO. 10ml   BIO RAD,,,, $180.00 
,2,90,16,2016-06-03,SUEROS ANTI-B   FCO. 10ml   BIO RAD,,,, $180.00 
,2,195,16,2016-06-03,SUEROS ANTI-D   FCO. 10ml   BIO RAD,,,, $390.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $72,206.87 "
,,,,,,,,," $11,553.10 "
,,,,,,,,," $83,759.97 "
