FORMATO DE REQUISICI‡N,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
OCTUBRE,,,,,,15-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,LUIS,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1,446.59,16,2015-11-23,ACEITE LUBRICANTE (PANASPRAY),,,1,,$446.59
,800,2.84,16,2015-11-23,AGUJAS DESECHABLES CORTAS MONOJET NO. 30,,,100,,"$2,272.00"
,500,26.93,16,2015-11-23,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,,500,,"$13,465.00"
,500,8.7,16,2015-11-23,ANESTESIA AL 2%,,,50,,"$4,350.00"
,250,8.7,16,2015-11-23,ANESTESIA AL 3%,,,50,,"$2,175.00"
,300,6.69,16,2015-11-23,BOQUILLAS PARA FLORURO CHICAS SULTAN,,,50,,"$2,007.00"
,400,6.69,16,2015-11-23,BOQUILLAS PARA FLORURO GRANDES SULTAN,,,50,,"$2,676.00"
,1500,2.84,16,2015-11-23,EYECTORES DE SALIVA MONOJET,,,250,,"$4,260.00"
,8,93.98,16,2015-11-23,FLORURO EN FORMA DE GEL BOTE C/480ML,,,1,,$751.84
,100,31.19,16,2015-11-23,FRESA BASTAGO LARGO P/CIRUGIA NO. 702 JET,,,1,,"$3,119.00"
,20,20.51,16,2015-11-23,FRESA CARBURO BOLA NO. 4,,,1,,$410.20
,50,20.51,16,2015-11-23,FRESA CARBURO PERA NO. 330,,,1,,"$1,025.50"
,50,20.51,16,2015-11-23,FRESA CILINDRICA DIAMANTE NO. 699 JET,,,1,,"$1,025.50"
,30,20.51,16,2015-11-23,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 5 JET,,,1,,$615.30
,30,32.71,16,2015-11-23,FRESA DIAMANTE NO. 1062 TF11,,,1,,$981.30
,30,32.71,16,2015-11-23,FRESAS FORMA LLANTA,,,1,,$981.30
,1,4718.96,16,2015-11-23,"KIT DE RESINAS 3M, JERINGAS, ACIDO Y SINGLE BOND",,,1,,"$4,718.96"
,1,1560.59,16,2015-11-23,LIMPIADOR ENZIMATICO CONCENTRADO GALON ZYMEX,,,1,,"$1,560.59"
,2,825.97,16,2015-11-23,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,,,1,,"$1,651.94"
,5,913.27,16,2015-11-23,TABLETAS PARA COLOCAR EN LAS BOTELLAS DE AGUA ADEC,,,50,,"$4,566.35"
,1000,0.58,16,2015-11-23,TOALLAS INTERDOBLADA SURTIDA,,,500,,$580.00
,2,529.18,16,2015-11-23,ULTRABLEND C/2 JERINGAS,,,2,,"$1,058.36"
,3000,0.41,16,2015-11-23,VASOS DESECHABLES,,,1000,,"$1,230.00"
,,,,,,,,,,"$55,927.73"
