,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,24-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,130,25,0,31/08/2016,TRAMADOL 2ML AMP.,,,,"$3,250.00"
,1400,1.271,0,31/08/2016,TRIMETROPRIMA + SULFAMETOXAZOL 160MG/800MG TABS C/14,,,,"$1,779.40"
,90,180,0,31/08/2016,MECLIZINA + PIRIDOXINA JARABE FCO.,,,,"$16,200.00"
,100,112.17,0,31/08/2016,PARACETAMOL 1GR/100ML AMP. // PATENTE,,,,"$11,217.00"
,200,39,0,31/08/2016,OMEPRAZOL 40MG/10ML SOL. INY.,,,,"$7,800.00"
,23,390,0,31/08/2016,CIPROFLOXACINO 400MG FCO. 200ML ,,,,"$8,970.00"
,144,34,0,31/08/2016,DICLOFENACO SUSP. 0.18G/100MG ,,,,"$4,896.00"
,20,230,0,31/08/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO // PATENTE,,,,"$4,600.00"
,150,28,0,31/08/2016,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,,,"$4,200.00"
,1500,2.5,0,31/08/2016,BUTILHIOSCINA + METAMIZOL 10MG/250MG ,,,,"$3,750.00"
,2500,1.35,0,31/08/2016,IBUPROFENO + PARACETAMOL 200MG/325MG TAB. // PATENTE,,,,"$3,375.00"
,1500,2.1,0,31/08/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,,"$3,150.00"
,180,17,0,31/08/2016,ONDANSETRON 8MG AMP.,,,,"$3,060.00"
,100,30,0,31/08/2016,DIPROPIONATO DE BETAMETASONA + FOSFATO 5MG/2MG DE 1ML HYPACK JERINGA PRELLENADA ,,,,"$3,000.00"
,100,24,0,31/08/2016,PORAL OFT. 5 ML CLORAFENICOL-HIDROCORTISONA 5ML,,,,"$2,400.00"
,5,477,0,31/08/2016,HISTOACRIL (PEGAMENTO PARA HERIDAS),,,,"$2,385.00"
,200,11,0,31/08/2016,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,,,,"$2,200.00"
,20,109,0,31/08/2016,ALIN DEPOT AMP 8MG EN 2ML ,,,,"$2,180.00"
,100,21,0,31/08/2016,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,,"$2,100.00"
,300,6.9,0,31/08/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,"$2,070.00"
,150,13.5,0,31/08/2016,PARACETAMOL 160MG JBE FCO.,,,,"$2,025.00"
,24,70.5,0,31/08/2016,LIBERTRIM SOL. INY 0.050GR/ 5ML C/6 AMP TRIMEBUTINA,,,,"$1,692.00"
,2,720,0,31/08/2016,SERETIDE   INHALADOR  ,,,,"$1,440.00"
