,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,BENEFIC,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
AGUASCALIENTES,,,,,,,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,SELECCI‡N
EQU0004,2,285,16,2016-02-22,BAUMANOMETRO ANEROIDE,,,,$0.00,BAUMANOMETRO ANEROIDE
LAB0017,100,225,16,2016-02-22,ISOPOS PAQUETE CON 3 APLICADORES ,,,,$0.00,ISOPOS PAQUETE CON 3 APLICADORES 
MAT0002,500,0.2,16,2016-02-22,ABATELENGUAS C/25 DE MADERA ,,,,$0.00,ABATELENGUAS C/25 DE MADERA 
MAT0010,200,2.45,0,2016-02-22,AGUA INYECTABLE DE 10 ML,,,,$490.00,AGUA INYECTABLE DE 10 ML
MAT0042,5,22,16,2016-02-22,ALCOHOL ETILICO DESNAT. 70 1LT,,,,$110.00,ALCOHOL ETILICO DESNAT. 70 1LT
MAT0090,2,52.2,16,2016-02-22,ALGODON PAQUETE DE TORUNDAS ,,,,$104.40,ALGODON PAQUETE DE TORUNDAS 
MAT0484,600,1.1,16,2016-02-22,Gasa 10 x 10 esteril caja c/ 100 pzas,,,,$0.00,Gasa 10 x 10 esteril caja c/ 100 pzas
MAT0578,100,3.5,16,2016-02-22,Jeringa de 20 ML C/100 ,,,,$0.00,Jeringa de 20 ML C/100 
MAT0892,12,23.25,16,2016-02-22,catgut cromico 3-0  caja c/ 12 pzas,,,,$0.00,catgut cromico 3-0  caja c/ 12 pzas
MAT0914,100,6.72,16,2016-02-22,TIRAS REACTIVAS ACCU-CHEK  ACTIVE ,,,,$672.00,TIRAS REACTIVAS ACCU-CHEK  ACTIVE 
MAT1012,50,5,16,2016-02-22,VENDAS ELASTICAS DE 10 cm,,,,$0.00,VENDAS ELASTICAS DE 10 cm
MAT1134,4,19,16,2016-02-22,DERMOQRIT 500 ml,,,,$0.00,DERMOQRIT 500 ml
MAT4030,10,32,16,2016-02-22,MASCARILLAS CON NEBULIZADOR PEDIATRICAS ,,,,$0.00,MASCARILLAS CON NEBULIZADOR PEDIATRICAS 
MED0115,50,6.25,0,2016-02-22,DICLOFENACO AMP 75 MG ,,,,$0.00,DICLOFENACO AMP 75 MG 
MED0043,250,39.6,0,2016-02-22,AVAPENA AMPS. DE 20 MG DE 2 ML CLOROPIRAMINA C/5,,,,$0.00,AVAPENA AMPS. DE 20 MG DE 2 ML CLOROPIRAMINA C/5
MED0061,200,5,0,2016-02-22,BUTILHIOSINA  INYECTABLE   AMPOLLETA 20mg.,,,,$0.00,BUTILHIOSINA  INYECTABLE   AMPOLLETA 20mg.
MAT4061,1,0.95,0,2016-02-22,ROLLO DE BOLSA ROJA RPBI (100),,,,$0.00,ROLLO DE BOLSA ROJA RPBI (100)
MED4472,36,17,0,2016-02-22,AGUA INYECTABLE 500ML,,,,$0.00,AGUA INYECTABLE 500ML
MAT2052,2,88,16,2016-02-22,JABON QUIRURGICO GALON DE 3.8 LITROS ,,,,$0.00,JABON QUIRURGICO GALON DE 3.8 LITROS 
MED1083,100,2.75,0,2016-02-22,Metroclopramida 10 mg  ampulas,,,,$0.00,Metroclopramida 10 mg  ampulas
MED4443,100,0.54,0,2016-02-22,DICLOFENACO EN TABLETAS C/10TAB,,,,$0.00,DICLOFENACO EN TABLETAS C/10TAB
MED1013,100,2.75,0,2016-02-22,BUTILHIOSINA / METAMIZOL GRAGEAS,,,,$0.00,BUTILHIOSINA / METAMIZOL GRAGEAS
MAT1194,100,0.65,16,2016-02-22,LANCETAS ACCU-CHEK ACTIVE,,,,$0.00,LANCETAS ACCU-CHEK ACTIVE
MED4511,20,3.16,0,2016-02-22,SUPOSITORIOS DE PARACETAMOL,,,,$0.00,SUPOSITORIOS DE PARACETAMOL
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
