,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,23-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,30,9.4,0,2016-11-25,DICLOFENACO 100MG TAB.C/20,,,, $282.00 
,30,37,0,2016-11-25,KETOROLACO/TRAMADOL 10/25MG C/10 CAP ,,,," $1,110.00 "
,30,12.1,0,2016-11-25,IBUPROFENO 600 MG,,,, $363.00 
,16,16,0,2016-11-25,IBUPROFENO 800 MG/TABLETAS c/10,,,, $256.00 
,30,28,0,2016-11-25,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,,, $840.00 
,30,42,0,2016-11-25,GABAPENTINA 300MG TAB C/16,,,," $1,260.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
