STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION,ID AGRUPADOR
MAT0347,100,0.18,16,03/05/2016,CURITA DE BANDA 100 PZAS TRANSPIEL ANTISEPTIC,
MAT1012,5,5,16,03/05/2016,VENDA ELASTICA 10 CM,
MAT1016,5,3.4,16,03/05/2016,VENDA ELASTICA 5 CM,
MAT0341,300,0.33,16,03/05/2016,CUBREBOCAS,
MAT0992,16,4.5,16,03/05/2016,VASO RECOLECTOR ESTERIL DE 100 ML,
MAT1119,5,12,16,03/05/2016,TERMOMETRO MERCURIAL ORAL,
MAT1164,50,5.4,16,03/05/2016,TIRAS REACTIVAS ACCU-CHEK (PERFORMA),
MAT1192,2,43,16,03/05/2016,GEL ANTIBACTERIAL DE 1 LITRO,
MAT0001,500,0.22,16,03/05/2016,ABATELENGUAS DE MADERA,
MAT0484,500,1.18,16,03/05/2016,GASA ESTERIL DE 10X10,
MAT0562,50,5.09,16,03/05/2016,JELCO N 14,
LAB0017,1000,0.14,16,03/05/2016,ISOPOS,
