,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,3,12.5,16,15/03/2016,AGUA OXIGENADA 500 ML,,,,$37.50
,7,365,16,15/03/2016,ACIDO POLIGLICOLICO CAL 6.0 PZA.,,,,"$2,555.00"
,7,87.5,16,15/03/2016,AGUJA DESECHABLE 18X38 MM. C/100 PZAS.,,,,$612.50
,7,87.5,16,15/03/2016,AGUJA DESECHABLE 20X32 MM. C/100 PZAS.,,,,$612.50
,2,87.5,16,15/03/2016,AGUJA DESECHABLE 21X32 MM. C/100 PZAS,,,,$175.00
,7,87.5,16,15/03/2016,AGUJA DESECHABLE 22X32 MM. C/100 PZAS.,,,,$612.50
,2,87.5,16,15/03/2016,AGUJA DESECHABLE 25X16 MM C/100 PZAS,,,,$175.00
,7,87.5,16,15/03/2016,AGUJA DESECHABLE 23X25 MM. C/100 PZAS.,,,,$612.50
,20,437.5,16,15/03/2016,AGUJA PARA INSULINA 29X13 MM C/100,,,,"$8,750.00"
,72,31.5,16,15/03/2016,ALCOHOL ROJO 96 GR. LITRO CANITAS,,,,"$2,268.00"
,5,275,16,15/03/2016,ALKAZYME PAQ. C/12 SOBRES 20GR.,,,,"$1,375.00"
,5,2925,16,15/03/2016,ALKACIDE ESTERELIZANTE 1 LITRO,,,,"$14,625.00"
,8,328.35,16,15/03/2016,APLICADOR PLASTICO C/ALGODON C/100 C/3,,,,"$2,626.80"
,4,87.5,16,15/03/2016,APLICADORES DE MADERA CAJA C/750 PZAS.,,,,$350.00
,1,1750,16,15/03/2016,APLICADORES CITRATO DE PLATA C/100,,,,"$1,750.00"
,1,5279,16,15/03/2016,ACTIVATOR FOR COBRAS INTEGRA,,,,"$5,279.00"
,1,7385,16,15/03/2016,AVL HB CALIBRATOR 5XIML,,,,"$7,385.00"
,7,641.7,16,15/03/2016,BARRERA CONVEXA NIMAG C/5,,,,"$4,491.90"
,5,613.8,16,15/03/2016,BARRERA STOMAHESIVE FLEX 45MM C/5,,,,"$3,069.00"
,15,480,16,15/03/2016,BARRERA NEW IMAGEN 57MM. C/5,,,,"$7,200.00"
,70,81,16,15/03/2016,BATA MEDICO-PACIENTE SMS AZUL C/10,,,,"$5,670.00"
,60,32,16,15/03/2016,BATA PARA CIRUJANO,,,,"$1,920.00"
,12,83,16,15/03/2016,BRAZALETE IDENTIFICACION,,,,$996.00
,6,728.84,16,15/03/2016,BOLSA DRENABLE 70 MM C/10,,,,"$4,373.04"
,7,728.84,16,15/03/2016,BOLSA DRENABLE S/F 70 MM C/10,,,,"$5,101.88"
,4,728.84,16,15/03/2016,BOLSA DRENABLE TRANSPARENTE C/10,,,,"$2,915.36"
,35,16.25,16,15/03/2016,BOLSA RECOLECTORA DE ORINA 2 LTS. ADULTO,,,,$568.75
,150,2.18,16,15/03/2016,BOLSA RECOLECTORA DE ORINA NINA,,,,$327.00
,150,2.18,16,15/03/2016,BOLSA RECOLECTORA DE ORINA NINO,,,,$327.00
,12,1312.5,16,15/03/2016,BOLSA RESIDUOS CAL. 200 ROJA 50X60 C/500,,,,"$15,750.00"
,6,1110,16,15/03/2016,BOLSA UROSTOMIA ULTRA TRANS. ARO DE 57 MM. C/10,,,,"$6,660.00"
,1,2237,16,15/03/2016,"COBAS INTEGRA UA2, TRIG 250",,,,"$2,237.00"
,1,6328,16,15/03/2016,CELLPACK 20L (PK30L),,,,"$6,328.00"
,1,5698,16,15/03/2016,"CALSET PROGESTERONA,FT3,FT4",,,,"$5,698.00"
,1,7451,16,15/03/2016,"COMBITROL PLUS LEVEL 1,2,3",,,,"$7,451.00"
,3,225,16,15/03/2016,CAJA HOJA DE BISTURI AL CARBON No.15,,,,$675.00
,10,985,16,15/03/2016,CAJA DE TUBO LATEX P/ASPIRACION,,,,"$9,850.00"
,6,196,16,15/03/2016,"CAJA CINTA MICROPORE 1.25 1/2""",,,,"$1,176.00"
,200,11.25,16,15/03/2016,CAMPO SENCILLO 60X60 CM. ESTERIL,,,,"$2,250.00"
,100,15,16,15/03/2016,CAMPO ESTERIL HENDIDO 50X70 C/ADHESIVO,,,,"$1,500.00"
,10,35.7,16,15/03/2016,CANULA DE GUEDEL No. 2 PZA.,,,,$357.00
,10,35.7,16,15/03/2016,CANULA DE GUEDEL No. 3 PZA,,,,$357.00
,10,35.7,16,15/03/2016,CANULA DE GUEDEL No. 4 PZA,,,,$357.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
,,,,,,,,,$0.00
