,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,06-may-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
AMERICAS,,,,,,GEOVANA ESCOBEDO,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,4,45,16,2016-05-05,REPUESTO AROMATIZANTE DE PARED AROMA HAWAIAN GINGER,,1,45, $180.00 
,4,19,16,2016-05-05,CLORO GENERICO GAL,,1,19, $76.00 
,1,140,16,2016-05-05,DETERGENTE EN POLVO 9 KG,,1,140, $140.00 
,12,4.5,16,2016-05-05,PASTILLA PARA BANO WIESE 70G,,1,4.5, $54.00 
,5,28,16,2016-05-05,FABULOSO GENERICO GAL,,1,28, $140.00 
,3,145,16,2016-05-05,PAPEL HIG. TIPO BOBINA JUNIOR TORK 700527,,1,145, $435.00 
,3,57,16,2016-05-05,JABON PARA AUTO PORRON,,1,57, $171.00 
,3,63,16,2016-05-05,ARMOR ALL GENERICO,,1,63, $189.00 
,3,35,16,2016-05-05,SHAMPOO P/ MANOS Y CUERPO 3.500 LTS,,1,35, $105.00 
,5,115,16,2016-05-05,TOALLA INTERDOBLADA TORK 7004444 BCA ,,1,115, $575.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $2,065.00 "
,,,,,,,,," $2,395.40 "
