FORMATO DE REQUISICI‡N,,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
55,,,,,,15-mar-16,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
Reforma ,,,,,,Karen Posada ,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,,
,1,7.7,16,2016-05-03,FRANELA METRO,,,1,7.7,7.7,SG
,6,124,16,2016-05-03,TOALLA INTERDOBLADA TORK 7004444 BCA ,,,1,124,744,SG
,2,153,16,2016-05-03,PAPEL HIG. TIPO BOBINA JUNIOR TORK 700527,,,1,153,306,SG
,8,22,16,2016-05-03,FABULOSO GENERICO GAL,,,1,22,176,SG
,4,18,16,2016-05-03,CLORO GENERICO GAL,,,1,18,72,SG
,2,18,16,2016-05-03,PINOL GENERICO GAL,,,1,18,36,SG
,10,24,16,2016-05-03,AROMATIZANTE WIESE 400 ML (5-HAWAIAN GINGER Y 5 TAHITI),,,1,24,240,SG
,2,43,16,2016-05-03,REPUESTO AROMATIZANTE DE PARED AROMA MANZANA CANELA,,,1,43,86,SG
,2,20,16,2016-05-03,AXION POLVO LAVA TRASTES 900 G,,,1,20,40,SG
,1,21,16,2016-05-03,AXION LIQUIDO 750ML,,,1,21,21,SG
,6,25,16,2016-05-03,BOLSA BASURA 120 X 90 CMS,,,1,25,150,SG
,6,25,16,2016-05-03,BOLSA BASURA 90 X 70 CMS ,,,1,25,150,SG
,4,11.5,16,2016-05-03,FIBRA VERDE SCOTCH CON ESPONJA,,,1,11.5,46,SG
,1,16.8,16,2016-05-03,SERVILLETA BRISA C/500,,,1,16.8,16.8,SG
,4,44,16,2016-05-03,PLEDGE PARA MADERA,,,1,44,176,SG
,20,4.3,16,2016-05-03,PASTILLA PARA BANO WIESE 70G,,,1,4.3,86,SG
,2,9.9,16,2016-05-03,GUANTES DE HULE PARA LIMPIEZA NO. 9,,,1,9.9,19.8,SG
,,,,,,,,,,2373.3,
,,,,,,,,,," $2,753.03 ",
