,,,,FORMATO DE REQUISICI…N,,
,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,22-jul-16
DESTINO:,,,,,,ELABORADO POR:
,,,,,,ARTURO HEREDIA
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
 MED0002 ,100,0.55,0,22/07/2016,ACIDO ACETILSALICILICO 500 MG TAB C/20,
 MED4448 ,150,2.1,0,22/07/2016,BUTILHIOSCINA 10 MG C/10 TAB,
 MED0061 ,78,8.33,0,22/07/2016,BUTILHIOSCINA SOL INY 20 MG / 1ML C/3 AMP,
 MED4464 ,6,12.3,0,22/07/2016,CLORANFENICOL SOL. OFT. ,
 MED0101 ,20,11,0,22/07/2016,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,
 MED0367 ,5,31,0,22/07/2016,DEXNE OTICO GOTAS,
 MED0116 ,40,5.75,0,22/07/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,
 MED0167 ,3,146,0,22/07/2016,FURACIN POMADA 85 GR.,
 MED1059 ,120,1.75,0,22/07/2016,GRANEODIN B 10 MG 4 BENZOCAINA ,
 MED0190 ,2,65,0,22/07/2016,HIDROCORTISONA 500MG AMP.,
 MED1093 ,10,52,0,22/07/2016,IBUPROFENO GOTAS,
 MED1030 ,200,0.85,0,22/07/2016,IBUPROFENO TABS 400 MG IBUPROFENO,
 MED0208 ,30,1.88,0,22/07/2016,ISORBID TABS. DE 5 MG 0 DINITRATO DE ISOSORBIDA,
 MED1045 ,100,0.69,0,22/07/2016,KETOROLACO TAB. 10 MG,
 MED1032 ,100,5,0,22/07/2016,KETOROLACO 30MG AMP.,
 MED0216 ,36,2.67,0,22/07/2016,KETOROLACO  TAB SUBLINGUAL  30MG  ,
 MED0223 ,120,0.75,0,22/07/2016,LOPERAMIDA 2 MG C/12 TABLETAS,
 MED0226 ,30,0.8,0,22/07/2016,LORATADINA 10MG GRAGEAS,
MED0238,100,0.25,0,22/07/2016,Metoclopramida c/20,
MED4478,20,9.5,0,22/07/2016,PARACETAMOL GTS 30ML ,
MED1088,300,0.45,0,22/07/2016,PARACETAMOL 500MG TAB. C/10,
MED0320,150,2.2,0,22/07/2016,SAL DE UVAS PICOT C/50,
MED4539,20,87,0,22/07/2016,MOTRIN JARABE 120 ML,
MED1026,50,0.66,0,22/07/2016,"MELOX PLUS TABS MASTICABLES  ALUMINIO,MAGNESIO,DIMETICONA C/50",
MED4463,2,235,0,22/07/2016,CLORURO DE ETILO SPRAY ,
