,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,28-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,2,57.5,16,29/07/2016,GUIA PARA TUBO ENDOTRAQUEAL,,,,$115.00
,6000,3.75,16,29/07/2016,AGUJA P/INSULINA PLUMA 31GX8,,,,"$22,500.00"
,170,1.17,16,29/07/2016,CONOS PARA OTOSCOPIO CHICO,,,,$198.90
,600,2,16,29/07/2016,JERINGA 10CC (22X32),,,,"$1,200.00"
,300,1.3,16,29/07/2016,JERINGA 3ML (21X32),,,,$390.00
,1400,1.3,16,29/07/2016,JERINGA 3ML (22X32),,,,"$1,820.00"
,600,1.38,16,29/07/2016,JERINGA 3ML (23X25),,,,$828.00
,2000,1.48,16,29/07/2016,JERINGA 5CC (22X32),,,,"$2,960.00"
,36,115.28,16,29/07/2016,PREMILENE 2/0 45 C0090436-2,,,,"$4,150.08"
,36,115.28,16,29/07/2016,PREMILENE 4-0 C0090676,,,,"$4,150.08"
,72,115.28,16,29/07/2016,PREMILENE 5-0 45CM C0090675,,,,"$8,300.16"
,36,115.28,16,29/07/2016,PREMILENE 6-0 45CM C0090428,,,,"$4,150.08"
,72,115.28,16,29/07/2016,PREMILENE 6-0 45CM DS16 C0090211,,,,"$8,300.16"
,36,115.28,16,29/07/2016,SILKAM 2-0 C0264460 ,,,,"$4,150.08"
,36,115.28,16,29/07/2016,SILKAM 4-0 HR26 C0760404,,,,"$4,150.08"
,20,95,16,29/07/2016,"VENDA SCOTCH CAST 2"" BSN (FIBRA DE VIDRIO P/YESO)",,,,"$1,900.00"
,,,,,,,,, $-   
,,,,,,,,,"$69,262.62"
,,,,,,,,,"$11,082.02"
,,,,,,,,,"$80,344.64"
