,,,,FORMATO DE REQUISICI…N,,,,,
,,,,(RAZON SOCIAL),,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1,487.36,16,07/03/2016,ACEITE PARA LUBRICAR PIEZA DE MANO ALTA VELOCIDAD,,,,$487.36
,500,2.983,16,07/03/2016,AGUJAS DESECHABLES CORTAS MONOJET NO. 30,,,,"$1,491.50"
,250,9.1546,0,07/03/2016,ANESTESIA AL 2%,,,,"$2,288.65"
,4,44.44,0,07/03/2016,ANESTESIA TOPICA FCO. 30GR,,,,$177.76
,10,74.62,16,07/03/2016,CORONA DE ACERO CANINO L3 907053 3M,,,,$746.20
,10,74.62,16,07/03/2016,CORONA DE ACERO CENTRAL UL3 907003 3M,,,,$746.20
,10,74.62,16,07/03/2016,CORONA DE ACERO LATERAL UR2 907032 3M,,,,$746.20
,10,74.62,16,07/03/2016,CORONA DE ACERO MOLAR DER E-LR-4 3M,,,,$746.20
,15,74.62,16,07/03/2016,CORONA DE ACERO MOLAR DER E-UR-2 3M,,,,"$1,119.30"
,10,74.62,16,07/03/2016,CORONA DE ACERO MOLAR DER E-UR-3 3M,,,,$746.20
,200,0.7928,16,07/03/2016,CUNAS DENTALES DE MADERA,,,,$158.56
,25,100.83,16,07/03/2016,ESPEJO BUCAL NO. 5 HU FRIEDY,,,,"$2,520.75"
,500,2.98336,16,07/03/2016,EYECTORES DE SALIVA MONOJET,,,,"$1,491.68"
,80,32.76,16,07/03/2016,FRESA BASTAGO LARGO P/CIRUGIA NO. 702 JET  HP  ,,,,"$2,620.80"
,20,21.66,16,07/03/2016,FRESA CARBURO BOLA NO. 4,,,,$433.20
,50,21.66,16,07/03/2016,FRESA CARBURO PERA NO. 330,,,,"$1,083.00"
,50,21.66,16,07/03/2016,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 331,,,,"$1,083.00"
,20,42.04,16,07/03/2016,FRESAS ARKANSAS ALTA VEL. FORMA DE FLAMA,,,,$840.80
,26,36.4,16,07/03/2016,FRESAS FORMA LLANTA,,,,$946.40
,1,444.44,16,07/03/2016,LIMPIADOR ENZIMATICO CONCENTRADO GALON ZYMEX,,,,$444.44
,2,417.69,16,07/03/2016,MERCURIO TRIDESTILASO FRASCO DE 1 GR. TIPO CHISPA,,,,$835.38
,10,61.15,16,07/03/2016,OXIDO DE ZINC DENTSPLY,,,,$611.50
,2,867.05,16,07/03/2016,SOL. DE LIMPIEZA PARA SISTEMA EVAC. BOTE,,,,"$1,734.10"
,2,674.61,16,07/03/2016,SOL. DESINFECTANTE Y ESTERILIZANTE SPOROX II GALON,,,,"$1,349.22"
,200,0.298,16,07/03/2016,TIRAS DE CELULOIDE,,,,$59.60
,3,45.04,16,07/03/2016,CRESOFORMO  FORMOCRESOL  ,,,,$135.12
,2,998.82,16,07/03/2016,TURBINAS PARA PIEZA DE MANO STARDENTAL,,,,"$1,997.64"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
