FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,90,10.8,0,07/02/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,$972.00
,500,0.196,16,07/02/2016,ABATELENGUAS,,,,$98.00
,140,0.65,0,07/02/2016,ASPIRINA  500 MG TAB C/30,,,,$91.00
,80,1,0,07/02/2016,ZOAFALET-H TABS 400 MG IBUPROFENO,,,,$80.00
,4,27,0,07/02/2016,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,,$108.00
,180,2.21,0,07/02/2016,ALKA SELTZER CAJA C/12,,,,$397.80
,336,1.575,0,07/02/2016,AMOXICILINA 500,,,,$529.20
,20,115,0,07/02/2016,ANDANTOL GEL 0.75% ISOTIPENDILO,,,,"$2,300.00"
,440,0.65,0,07/02/2016,ASPIRINA  500 MG TAB C/30,,,,$286.00
,200,0.76,0,07/02/2016,BENZONATATO PERLAS,,,,$152.00
,5,36,0,07/02/2016,BETAMETASONA AMP,,,,$180.00
,10,14.5,0,07/02/2016,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,,,$145.00
,140,2.25,0,07/02/2016,BROMURO DE PINAVERIO TAB,,,,$315.00
,600,0.74,0,07/02/2016,CAFIASPIRINA ADULTO TAB C/100,,,,$444.00
,72,2,0,07/02/2016,CAFIASPIRINA FORTE C/24,,,,$144.00
,300,1.16,0,07/02/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,$348.00
,240,2.19,0,07/02/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,$525.60
,80,1.75,0,07/02/2016,CIPROFLOXACINO 500MG COMP.,,,,$140.00
,5,19.9,0,07/02/2016,CLORANFENICOL HIDROCORTISONA GOTAS,,,,$99.50
,100,0.49,0,07/02/2016,CLORFENAMINA 4MG TAB,,,,$49.00
,10,237,0,07/02/2016,TRAUMASOL AEROSOL CLORURO DE ETILO,,,,"$2,370.00"
,5,22,16,07/02/2016,CREMA LUBRIDERM,,,,$110.00
,800,0.21,16,07/02/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,,$168.00
,140,2.9,0,07/02/2016,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,,$406.00
,200,3.56,0,07/02/2016,Espaven c/50,,,,$712.00
,30,18,0,07/02/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$540.00
,80,3,0,07/02/2016,FENAZOPIRIDINA/AC NALIDIXICO,,,,$240.00
