,,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,02-nov-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,ARTURO HEREDIA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,
,4,424,16,2016-11-09,ELECTROMICYN GALON,,," $1,696.00 ", $271.36 ," $1,967.36 "
,15,150,16,2016-11-09,MICROCYN SOL. ANTISEPTICA 240ML,,," $2,250.00 ", $360.00 ," $2,610.00 "
,12,545,16,2016-11-09,MICROCYN SOL. GALON,,," $6,540.00 "," $1,046.40 "," $7,586.40 "
,7700,0.625,16,2016-11-09,GUANTES LATEX GRANDES NO ESTERIL,,," $4,812.50 ", $770.00 ," $5,582.50 "
,600,0.92,16,2016-11-09,GUANTES GINETAC, SE LO QUITE A UBOLD   ,, $552.00 , $88.32 , $640.32 
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,SUBTOTAL,,
,,,,,,,,IVA,,
,,,,,,,,TOTAL,,
,,,,,,,,,,
