FORMATO DE REQUISICI…N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,
,700,1.45,16,26/01/2016,AGUJA VACUTAINER,,,,
,700,1.65,16,26/01/2016,TUBO ROJO ,,,,
,700,1.55,16,26/01/2016,TUBO LILA,,,,
,1000,0.8,16,26/01/2016,VASOS PARA MUESTRAS,,,,
,500,6.37,16,26/01/2016,TIRAS MULTISTIX,,,,
,1000,12.5,16,26/01/2016,TIRAS METANFETAMINAS,,,,
,1000,0.18,16,26/01/2016,PUNTILLAS AMARILLAS (100 uL),,,,
,4,85.8,16,26/01/2016,SUEROS ANTI-A  FCO. 10ml   BIO RAD,,,,
,4,85.8,16,26/01/2016,SUEROS ANTI-B   FCO. 10ml   BIO RAD,,,,
,4,195,16,26/01/2016,SUEROS ANTI-D   FCO. 10ml   BIO RAD,,,,
,800,0.26,16,26/01/2016,CUBREOBJETOS 22X22,,,,
,500,0.4,16,26/01/2016,PORTA OBJETOS C/50 CORNIN,,,,
,300,3.8,16,26/01/2016,PRUEBA DE EMBARAZO DE 200 MU/MI,,,,
,40,150.4,16,26/01/2016,PRUEBA DE VIH,,,,
,700,12.5,16,26/01/2016,TIRAS ANFETAMINA ,,,,
,800,12.5,16,26/01/2016,TIRAS COCAINA,,,,
,800,12.5,16,26/01/2016,TIRAS MARIHUANA ,,,,
,50,12.5,16,26/01/2016,TIRAS METANFETAMINAS,,,,
,50,12.5,16,26/01/2016,TIRAS MORFINA,,,,
,1,550,16,26/01/2016,KIT DE REACCIONES FEBRILES,,,,
