FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,20,19.5,16,26/11/2015,ALCOHOL ETILICO DESNAT. 70 1LT,,,,
,12,19.5,16,26/11/2015,ALCOHOL ETILICO DESNAT. 70 1LT,,,,
,120,2.5,16,26/11/2015,BATA ESTERIL DESECHABLE,,,,
,20,9.166666667,16,26/11/2015,BOLSA DE COMPRESAS QUIRURGICAS,,,,
,10,45,16,26/11/2015,BOLSA DE TORUNDAS DE ALGODON,,,,
,5,45,16,26/11/2015,BOLSA DE TORUNDAS DE ALGODON,,,,
,80,14,16,26/11/2015,CAMPO HENDIDO CON ADHESIVO,,,,
,50,0.76,16,26/11/2015,CUBREBOCAS DESECHABLE,,,,
,1000,5,16,26/11/2015,FUNDA DESECHABLE PARA ALMOHADA 50X70CM,,,,
,1000,0.35,16,26/11/2015,GASA S/ESTERILIZAR BOLSA 10X10,,,,
,4000,0.88,16,26/11/2015,GASA SECA ESTERIL 10X10,,,,
,500,0.88,16,26/11/2015,GASA SECA ESTERIL 10X10,,,,
,100,0.66,16,26/11/2015,GASA SECA ESTERIL 7X5,,,,
,200,0.672,16,26/11/2015,GUANTES LATEX CHICOS,,,,
,2000,0.672,16,26/11/2015,GUANTES LATEX MEDIANOS,,,,
,400,0.672,16,26/11/2015,GUANTES LATEX MEDIANOS,,,,
,50,4,16,26/11/2015,JERINGA 20CC SIN AGUJA,,,,
,12,11.25,16,26/11/2015,"MICROPORE 1""",,,,
,12,11.25,16,26/11/2015,"MICROPORE 1""",,,,
,150,11,16,26/11/2015,SABANA CON ELASTICO 1.20X2.40X0.14,,,,
,150,7.4,16,26/11/2015,SABANA PLANA 1.20X2.00,,,,
,12,15.41666667,16,26/11/2015,"TRANSPORE 1""",,,,
,110,4,16,26/11/2015,VENDA ELASTICA 10CMX4.5MTS,,,,
,60,4,16,26/11/2015,VENDA ELASTICA 10CMX4.5MTS,,,,
,240,2.4,16,26/11/2015,VENDA ELASTICA 5CMX4.5MTS,,,,
,72,2.4,16,26/11/2015,VENDA ELASTICA 5CMX4.5MTS,,,,
,100,5.5,16,26/11/2015,NORMOGOTERO,,,,
,10,15,16,26/11/2015,SOLUCION FISIOLOGICA 100 ML,,,,
