,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,19-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,10,389,0,17/10/2016,AGUA INY. 10 ML. C/100 AMP.,,,,"$3,890.00"
,18,349.9,0,17/10/2016,AGUA INY. 5 ML. C/100 AMP.,,,,"$6,298.20"
,67,1260,0,17/10/2016,CAJA DE DIANEAL 1.5 % C/TAPON C/8 PZAS,,,,"$84,420.00"
,43,1260,0,17/10/2016,CAJA DE DIANEAL 2.5 % C/TAPON C/8 PZAS,,,,"$54,180.00"
,39,1260,0,17/10/2016,CAJA DE DIANEAL 4.25 % C/TAPON C/8 PZAS,,,,"$49,140.00"
,397,11.87,0,17/10/2016,SOLUCION CS INY. 100 ML. MINIOVAL,,,,"$4,712.39"
,490,20.62,0,17/10/2016,SOLUCION CS INY. FLEXOVAL 1000 ML.,,,,"$10,103.80"
,380,14,0,17/10/2016,SOLUCION CS INY. PLAS 250 ML,,,,"$5,320.00"
,215,20.62,0,17/10/2016,SOLUCION DX-5 INY. FLEXOVAL 1000 ML.,,,,"$4,433.30"
,118,20.62,0,17/10/2016,SOLUCION HT. INY. FLEXOVAL 1000 ML.,,,,"$2,433.16"
,153,14,0,17/10/2016,SOLUCION HT. INY. PLAST 250 ML.,,,,"$2,142.00"
,207,17.62,0,17/10/2016,SOLUCION HT. INY. PLAST 500 ML.,,,,"$3,647.34"
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,, $-   
